legacy_order,root_area_id,node,anatomy_group,spont_FCV,spont_FCS,Hard_OO_fraction,FU_DCApost,FU_DCApre,Reciprocity,LogOutIn,stim_FCV,stim_FCS,stim_FCV_condition_sd,EdgeStdFCV,FCS,ConditionFCVSD,Hard_OO_fraction_raw,FU_DCApost_raw,FU_DCApre_raw,Reciprocity_raw,LogOutIn_raw
1,20,OB,Tel,0.3671760353642188,0.0833043079923186,-1.561257264951644,0.8974232672861873,0.36548305800973113,0.9650884626631133,-2.0023890653759024,1.691951513380879,-1.3759328869103296,0.4545721689839823,3.3574528977817244,-2.577444801568207,1.4143156489958821,-1.561257264951644,0.8974232672861873,0.3654830580097312,0.9650884626631132,-2.0023890653759024
2,1,Cb,Hind,0.3153132765626386,0.2262519161361767,0.4009870063380636,-0.167792375524868,0.5440933670107625,-0.035613856735361674,0.4291790033429822,-0.3263402219758389,0.3604586963175222,0.4482997707569542,-0.7010440360363169,0.27652231926715104,1.3664042273133847,0.4009870063380636,-0.1677923755248679,0.5440933670107625,-0.0356138567353618,0.4291790033429822
3,16,Hb,Di,0.3425851700633502,0.1180135920848578,0.3119198438538805,1.3080710427484366,-0.8235543892199565,-0.3929204446303169,-0.2089506637927028,0.2044177947917544,0.000259115185796,0.4138367046321608,0.3662346660042008,-0.31550874758334946,1.1031597020436443,0.3119198438538805,1.3080710427484363,-0.8235543892199565,-0.392920444630317,-0.2089506637927028
4,0,MON,Hind,0.3147048627913153,0.0971855877209634,1.5412075932405294,0.5981636839985248,-1.12632908001414,-2.001207885212724,2.2344848474851995,0.6172532944311337,-1.705063075769203,0.376679612613395,1.196387998203983,-3.1184096084416675,0.8193369854732476,1.5412075932405294,0.5981636839985248,-1.12632908001414,-2.001207885212724,2.2344848474851995
5,2,MOS1,Hind,0.3295841016803318,0.2729747074607673,-0.19239978259432983,-0.1543137106082949,1.513572116730038,1.0529188970961338,-0.2665328079828212,-0.6279474194781562,0.853690814804281,0.3655573651083213,-1.3075331103545358,1.0872082628631257,0.7343802159912859,-0.1923997825943298,-0.1543137106082948,1.513572116730038,1.0529188970961336,-0.2665328079828212
6,3,MOS2,Hind,0.3184847973253438,0.2857452166579226,-1.2222775012267464,0.2693434525143494,0.34299223554831104,0.5708594191051353,-0.6680054137583284,-0.4745396646854698,0.6116080368201483,0.0865190288719537,-0.9990519866680302,0.689316280685428,-1.3970411174621427,-1.2222775012267464,0.2693434525143494,0.3429922355483111,0.5708594191051352,-0.6680054137583284
7,4,MOS3,Hind,0.3427450380559997,0.2685684341159535,0.24152183038648928,-1.578239333214641,0.25693131133405817,0.09988880183705262,0.5290382595017986,-0.5150159087544575,0.5478017032658334,0.5232234865202295,-1.0804439428301176,0.5844429446107663,1.9387055401486666,0.2415218303864893,-1.5782393332146407,0.2569313113340582,0.0998888018370525,0.5290382595017986
8,5,MOS4,Hind,0.3174002983031145,0.3043880956580267,0.6449166588312186,-0.7861839831335453,-0.8208205192139685,-0.6043349227492352,0.966104908142196,-0.4480146934493205,0.6746303635183403,0.28281814806401084,-0.9457140511527281,0.7929010077783964,0.10238056067477545,0.6449166588312186,-0.7861839831335451,-0.8208205192139685,-0.6043349227492353,0.966104908142196
9,6,MOS5,Hind,0.3245294208743777,0.2323503967429716,0.939018209269047,0.06394909552539803,-1.5312645415823407,-0.9047435763983375,1.1860332796163124,0.1226393614851445,0.1167308801088762,0.15456364529547523,0.20178989570014008,-0.12407347986671424,-0.877285484498162,0.939018209269047,0.0639490955253981,-1.5312645415823407,-0.9047435763983376,1.1860332796163124
10,35,NX,Hind,0.3049761517065482,0.2564255849337111,-0.3988632513508826,0.6973481088206084,0.017483681181658557,-0.4362811591891978,0.1981935305156215,-0.2189986777405381,0.0365845712709625,0.22104857538424555,-0.48519549416371954,-0.2558035184646421,-0.36944344295041065,-0.3988632513508826,0.6973481088206084,0.0174836811816586,-0.4362811591891979,0.1981935305156215
11,22,P,Tel,0.3602381175127078,0.1595771872316718,0.041489139769890784,0.7774428096806407,-0.6909804255621977,-0.10467331088253437,0.2431777024486383,0.4937436641185503,0.0131668107660739,0.1747240389050715,0.9480277402990348,-0.29429340701864515,-0.723291257002796,0.0414891397698908,0.7774428096806407,-0.6909804255621977,-0.1046733108825345,0.2431777024486383
12,25,PO,Tel,0.3514208021642843,0.2106325527081087,1.339569008294932,0.8281196030707912,1.022544244217798,-1.1085813766192503,1.209965737507888,0.1808625840870662,0.4163391531463146,0.15808697183161205,0.31886849552165725,0.36836852955006844,-0.8503727188719963,1.339569008294932,0.8281196030707912,1.022544244217798,-1.1085813766192505,1.209965737507888
13,24,PT,Di,0.322795893233018,0.2694395067054819,-0.520525800411421,-0.2059224651042194,-0.055949009338433144,-0.1810910615518954,-0.5175654952422886,-0.2492328090016752,0.4430874746345479,0.27105633795579515,-0.545992021677761,0.412332593187743,0.012538522040186654,-0.520525800411421,-0.2059224651042193,-0.0559490093384331,-0.1810910615518955,-0.5175654952422886
14,26,PrT,Di,0.3195078728259496,0.2947563067211317,-1.1357759570399095,0.6800526078918006,-0.45101549034050664,1.122620657681383,-0.6904973619165918,-0.4700581801827988,0.6581326313724588,0.1741351495162508,-0.9900403602542558,0.7657850129950263,-0.7277894611682391,-1.1357759570399095,0.6800526078918006,-0.4510154903405066,1.1226206576813829,-0.6904973619165918
15,10,Ra,Hind,0.325095844242473,0.2495283641886456,-1.561257264951644,0.7720217178133207,2.47758868190878,1.3723395251622756,-1.487075507213354,0.0790509295989129,-0.0790037310529907,0.2449468081697526,0.11413977353931128,-0.44578670979784474,-0.18689790502218132,-1.561257264951644,0.7720217178133207,2.47758868190878,1.3723395251622754,-1.487075507213354
16,28,SP,Tel,0.3680116091256103,0.1670919652267663,1.7716548027220926,0.23315075896205376,-1.1297102858184005,-1.641210309005345,1.6029364839745506,0.5548528954037849,0.1759951180686174,0.23581442657900606,1.070909692127108,-0.02666562082604439,-0.25665517640752294,1.7716548027220926,0.2331507589620538,-1.1297102858184005,-1.6412103090053451,1.6029364839745506
17,11,T,Mes,0.327488469949286,0.2824890035582302,-0.02444433987621822,-3.139438413354785,-0.31308024458494194,0.1416309770272908,0.3623618118079823,-0.413726250963789,0.8334250723275665,0.3124894755943998,-0.8767648817858277,1.0538990927044323,0.3290236138951904,-0.0244443398762182,-3.1394384133547844,-0.3130802445849419,0.1416309770272907,0.3623618118079823
18,32,TS,Mes,0.3187393710390141,0.1204746434623795,0.4570095218298488,-1.4316141218002707,-2.2451488306367624,-1.4880981156361148,0.6463519686110509,0.6454310549030504,-0.7868388762164493,0.4312149360226909,1.2530494572357818,-1.6091983795969538,1.2359025130246046,0.4570095218298488,-1.4316141218002705,-2.2451488306367624,-1.488098115636115,0.6463519686110509
19,29,TeO,Mes,0.3211845665649819,0.1617494199375411,0.07687229221186459,-0.9703319630242806,-0.43674705556577925,0.7249560628915742,-0.1239838497985641,0.5234136475551844,-0.0346746177714854,0.26786959130836496,1.0076898469680338,-0.3729265133863762,-0.01180329378432524,0.0768722922118646,-0.9703319630242804,-0.4367470555657792,0.7249560628915741,-0.1239838497985641
20,30,Th,Di,0.3286946724177474,0.2443982757139748,-0.4258026804777068,0.4221176822950974,-0.07074344762090234,0.3373644583656633,-0.0806452963764496,-0.0519388033175468,0.5945770819865202,0.2569358767557699,-0.14926190427072827,0.6613238706777435,-0.09531996309083476,-0.4258026804777068,0.4221176822950974,-0.0707434476209023,0.3373644583656632,-0.0806452963764496
21,37,rCb,Hind,0.3173516428863684,0.2501454155975753,0.20478733380266187,0.8617520792464942,-0.23071154823488116,0.4710322129268555,0.03330850703682179,-0.108122561060232,0.43974168614757,0.2061417851171806,-0.26223943102493785,0.4068333898816812,-0.48330826603201127,0.2047873338026619,0.8617520792464942,-0.2307115482348811,0.4710322129268554,0.0333085070368218
