legacy_order,root_area_id,node,anatomy_group,EdgeStdFCV,FCS,OO_fraction,PostDCA,PreDCA,Modularity,LogOutIn,EdgeStdFCV_raw,FCS_raw,OO_fraction_raw,PostDCA_raw,PreDCA_raw,Modularity_raw,LogOutIn_raw
1,20,OB,Tel,3.3574528977817244,-2.577444801568207,-0.08206605513484652,0.5804183444605531,0.412068612819331,0.6296021151297521,-0.1858228509411797,1.691951513380879,-1.3759328869103296,0.1882720225818537,-0.0039293395196914,0.0023384373845507,0.6735681756112132,0.1582003464286437
2,1,Cb,Hind,-0.7010440360363169,0.27652231926715104,-0.7482290953874876,-0.44135637753791956,0.22745712441452234,-0.01749540519107752,0.0024421480091773922,-0.3263402219758389,0.3604586963175222,0.1519287558284353,-0.0141297184531264,0.0007654654467577,0.5894824488952233,0.437281474578542
3,16,Hb,Di,0.3662346660042008,-0.31550874758334946,2.9286388771696648,2.8408302584666654,0.17306407097322812,0.30742754702706027,3.624478742020826,0.2044177947917544,0.000259115185796,0.3525243840294033,0.0186363567850836,0.0003020124546751,0.6317038787508362,5.806532607252073
4,0,MON,Hind,1.196387998203983,-3.1184096084416675,-1.1658818977767011,-0.06573266073185599,-0.2139876705210506,-1.886610213121393,0.3201927069194788,0.6172532944311337,-1.705063075769203,0.1291432419371402,-0.0103798661957588,-0.0029958404205989,0.3466042551068806,0.9083099979119252
5,2,MOS1,Hind,-1.3075331103545358,1.0872082628631257,0.21714922716811294,-0.09494158680113232,0.7964375029524241,-2.395385855120514,-0.6154430968986062,-0.6279474194781562,0.853690814804281,0.2045960456277911,-0.0106714589585574,0.0056134311737468,0.2804924740391989,-0.4786620740229192
6,3,MOS2,Hind,-0.9990519866680302,0.689316280685428,-0.6333435387389285,-0.17346499200872115,1.3647091951321115,0.10109517071583851,-0.4657689823351362,-0.4745396646854698,0.6116080368201483,0.1581964653516326,-0.011455358257509,0.0104553585779652,0.604892451937511,-0.25678747715096
7,4,MOS3,Hind,-1.0804439428301176,0.5844429446107663,-0.21857095408043203,-0.6505886452890576,0.4365478359336072,-0.8902332983714506,0.8902750534556159,-0.5150159087544575,0.5478017032658334,0.1808248457561229,-0.0162184845678226,0.0025470112460717,0.4760763583506797,1.7533912679126156
8,5,MOS4,Hind,-0.9457140511527281,0.7929010077783964,-1.1428938432023061,0.0567859670270653,0.2597204501960219,0.0017714775767694551,0.5473364742784309,-0.4480146934493205,0.6746303635183403,0.1303973808626839,-0.0091567625089685,0.0010403633229012,0.5919860434666921,1.2450244121694043
9,6,MOS5,Hind,0.20178989570014008,-0.12407347986671424,-0.6720006112691452,-0.0012022207875587334,0.34867054101947687,-0.43086222099743093,0.18248923070793363,0.1226393614851445,0.1167308801088762,0.1560874856965333,-0.0097356586948278,0.0017982576334797,0.5357683671442703,0.704180490539106
10,35,NX,Hind,-0.48519549416371954,-0.2558035184646421,0.28073950414049076,0.4297974552875467,0.8255947031406262,-1.292220384126178,-0.4511278958967839,-0.2189986777405381,0.0365845712709625,0.2080652840263285,-0.0054329881339873,0.0058618634792168,0.4238409916947071,-0.235083756632878
11,22,P,Tel,0.9480277402990348,-0.29429340701864515,0.36236228794567843,1.0523529395499396,-3.8678347296951827,1.2801947581494348,0.18364693065926826,0.4937436641185503,0.0131668107660739,0.2125183059229854,0.0007819844131355,-0.034128241435999,0.7581080686975964,0.7058966470752593
12,25,PO,Tel,0.31886849552165725,0.36836852955006844,1.5990938808029853,1.7343891904479734,0.9192576917204914,0.7074794969388242,-0.01773407051332005,0.1808625840870662,0.4163391531463146,0.2799895756658206,0.0075907535632395,0.0066599137734807,0.6836877882484363,0.4073725597061486
13,24,PT,Di,-0.545992021677761,0.412332593187743,0.3170607433723597,0.21727390157724327,-0.4325929750452171,0.24387825418689735,-0.8643223087642835,-0.2492328090016752,0.4430874746345479,0.2100468296937644,-0.0075546111624816,-0.0048584547813867,0.6234460995089949,-0.8475967756816475
14,26,PrT,Di,-0.9900403602542558,0.7657850129950263,-1.070520635370047,-1.0181641848605185,-0.09073003198285266,-0.13949709385527623,-0.5755641552939413,-0.4700581801827988,0.6581326313724588,0.1343457818382932,-0.0198879918570197,-0.0019456305543847,0.5736291959777636,-0.4195461466094096
15,10,Ra,Hind,0.11413977353931128,-0.44578670979784474,-0.26122018512972267,-0.38226771835585177,1.326258677733367,-0.059709578001907515,-1.074622850772112,0.0790509295989129,-0.0790037310529907,0.17849806944583,-0.0135398362595771,0.0101277430791441,0.5839970169671993,-1.1593430526917246
16,28,SP,Tel,1.070909692127108,-0.02666562082604439,1.2921503199872482,1.429730548670674,-2.887457272092683,0.45666254795332656,0.9488452938985851,0.5548528954037849,0.1759951180686174,0.2632439277764694,0.0045493457807139,-0.0257749897365592,0.6510959071704862,1.8402148881817493
17,11,T,Mes,-0.8767648817858277,1.0538990927044323,-0.016175102862265724,-0.7960990932970645,-0.2595014096413612,0.34196112379349697,0.4430761955441358,-0.413726250963789,0.8334250723275665,0.1918667768843004,-0.0176711156385468,-0.0033836377079665,0.6361912717747943,1.090470584465815
18,32,TS,Mes,1.2530494572357818,-1.6091983795969538,-0.6342185453073915,-0.025744637053337727,-0.9014492885567744,0.4826628171932668,-0.5019918326358114,0.6454310549030504,-0.7868388762164493,0.1581487283935501,-0.009980665681655,-0.0088533189709522,0.6544744574897144,-0.3104836712554357
19,29,TeO,Mes,1.0076898469680338,-0.3729265133863762,-0.6482293777717191,-0.3193485291967121,-0.17738903466670486,1.1427699585116713,-0.43932846235941553,0.5234136475551844,-0.0346746177714854,0.1573843518206688,-0.0129117138782048,-0.0026840037756651,0.7402506920527107,-0.2175924585079046
20,30,Th,Di,-0.14926190427072827,0.6613238706777435,0.33306349827665305,-0.7421867254321748,0.2949416192620394,1.1573824722394996,-0.9783403903870305,-0.0519388033175468,0.5945770819865202,0.2109198778143202,-0.0171329083707598,0.0013404633385385,0.7421494844253698,-1.016615419753422
21,37,rCb,Hind,-0.26223943102493785,0.4068333898816812,-1.0005995601502213,-0.9134718963211811,0.14191188663691978,0.08323724382711889,-0.2168238700336007,-0.108122561060232,0.43974168614757,0.138160403987604,-0.0188428485475228,3.65819975276061e-05,0.6025719411753394,0.1122449142965629
22,52,rHb,Di,0.8836369916909707,-0.42915362309726357,0.5068352532077519,1.581300393886225,0.1470107420276112,1.1458470986884735,3.3272849451622437,0.4617221256356252,-0.0688839397144224,0.2204001894828803,0.006062467824932,8.00265118085126e-05,0.7406505445631099,5.365977110644256
23,36,rMON,Hind,0.8078358570324056,-3.046664132876301,-1.0283945898817692,-0.4670447090177539,-0.03808230572621015,-1.9056983218637438,-0.028360560763045828,0.4240261987674191,-1.6614121734876386,0.1366440151774867,-0.0143861651136481,-0.0014970485256828,0.3441238909502715,0.3916200146037562
24,38,rMOS1,Hind,-1.4330819728242357,0.6755692934033359,1.9476008186109268,-0.24752768337556924,0.9135431482686266,-2.4202887136433198,-0.6637389525171734,-0.6903829062206954,0.6032441867823881,0.2990027598877605,-0.0121947262419648,0.006611223323256,0.2772565244482355,-0.5502551048366204
25,39,rMOS2,Hind,-0.9287911823072529,0.6944062689888114,1.273835419949499,0.7557790141644937,1.3369430231042807,-0.4781723244099252,-1.3202784959438627,-0.439598945726378,0.6147048534527576,0.262244738002474,-0.0021787136307454,0.0102187784507093,0.5296207552287188,-1.5234991888463854
26,40,rMOS3,Hind,-1.0989526027467664,0.2855391843085884,0.8298448470791432,-0.7541763175237421,-0.7313575730860018,-0.6489964995901758,0.5233802034798773,-0.5242202708499484,0.3659446770251312,0.2380223377028254,-0.0172526004907137,-0.0074040619523428,0.5074233669531937,1.2095120061566025
27,41,rMOS4,Hind,-1.3410952778673932,0.9362729529416399,0.13027874291713956,-0.061188564937746735,0.20612716588237834,0.7389003016149938,0.4723066086627719,-0.6446378953899202,0.7618597632668537,0.19985672958748,-0.0103345024790688,0.0005837247192696,0.6877706986479183,1.1338012976356464
28,42,rMOS5,Hind,0.23727681793722485,0.13406781639796217,-0.004835687928789111,0.001887648381937216,-0.2785368451284864,-1.3662399478279488,0.5390703737370579,0.1402870184951931,0.2737874806720645,0.1924854112978799,-0.0097048125252123,-0.0035458280792356,0.4142226751201388,1.2327708723327448
