legacy_order,root_area_id,node,anatomy_group
1,20,OB,Tel
2,1,Cb,Hind
3,16,Hb,Di
4,0,MON,Hind
5,2,MOS1,Hind
6,3,MOS2,Hind
7,4,MOS3,Hind
8,5,MOS4,Hind
9,6,MOS5,Hind
10,35,NX,Hind
11,22,P,Tel
12,25,PO,Tel
13,24,PT,Di
14,26,PrT,Di
15,10,Ra,Hind
16,28,SP,Tel
17,11,T,Mes
18,32,TS,Mes
19,29,TeO,Mes
20,30,Th,Di
21,37,rCb,Hind
22,52,rHb,Di
23,36,rMON,Hind
24,38,rMOS1,Hind
25,39,rMOS2,Hind
26,40,rMOS3,Hind
27,41,rMOS4,Hind
28,42,rMOS5,Hind
29,71,rNX,Hind
30,58,rP,Tel
31,61,rPO,Tel
32,60,rPT,Di
33,62,rPrT,Di
34,46,rRa,Hind
35,64,rSP,Tel
36,47,rT,Mes
37,68,rTS,Mes
38,65,rTeO,Mes
39,66,rTh,Di
40,48,raRF,Hind
41,49,rimRF,Hind
42,50,rpRF,Hind
