root_area_id,node,anatomy_group,n_subjects,Hard_OO_fraction,FU_DCApost,FU_DCApre,LogOutIn,OutputParticipation,Reciprocity,CycleParticipation,complete_primary_measures
0,MON,Hind,7,0.5518234308570565,0.0013391373271848,0.0034190164753307717,1.443484151449099,0.553247518933526,0.21750139833685672,0.9995118590041622,True
1,Cb,Hind,7,0.34901680291510323,-0.012413331119755202,0.0320738534620807,0.2904421070624113,0.5831709591375198,0.5519508670110416,0.9999496177505637,True
2,MOS1,Hind,7,0.24347338867487564,-0.012171326488200544,0.04870453008211893,-0.15390640697911082,0.5788450822240444,0.737166733501747,0.9998388297943167,True
3,MOS2,Hind,7,0.06029302015004517,-0.004564712902834243,0.028624115253539,-0.4103254484565915,0.5859149677578726,0.6551434194564066,0.9998385831986655,True
4,MOS3,Hind,7,0.32065334852706606,-0.03773740427061033,0.02714780501915456,0.35422183792956796,0.5828710562332257,0.5750068956247373,0.9999486631864146,True
5,MOS4,Hind,7,0.39240362722388145,-0.02351633235037757,0.00865978537386739,0.6333746605478396,0.5762120986736516,0.4551819230702116,0.9999551891019294,True
6,MOS5,Hind,7,0.4447143330661873,-0.008252495483244507,-0.003527345902675786,0.7738420832208331,0.5842912197503723,0.4040668336150919,0.9999475929789364,True
7,IPN,Hind,7,0.0,0.013945140566936614,0.025372844617188257,-2.246670503711456,0.5305518215284951,0.4390537153011049,0.9996423757255647,True
8,IO,Hind,7,,,-0.009664079866985328,-1.7053141775013985,,,,False
9,Hc,Di,6,0.46060022468303635,0.0035503800450491,-0.010374342994520601,-1.0830182270834785,0.5852709858393165,0.13255360623781673,0.6417910447761194,True
10,Ra,Hind,7,0.0,0.004460696448699928,0.06524150704679196,-0.9334624327619384,0.5913671890996461,0.7915167456571314,0.9999178419376041,True
11,T,Mes,7,0.27334697399111046,-0.06576817812776703,0.0173696867685805,0.2477662184434943,0.6138431285892832,0.5821094041343375,0.9998021785619352,True
