epsilon,run,layer,energy_well_width,delta_u,n_dynamic_fc_windows
0.0,0,Layer 1,0.2461725183898199,2.0,169
0.0,1,Layer 1,0.2215552665508379,2.0,169
0.0,2,Layer 1,0.2461725183898199,2.0,169
0.0,3,Layer 1,0.2215552665508379,2.0,169
0.0,4,Layer 1,0.5908140441355677,2.0,169
0.0,5,Layer 1,0.1477035110338919,2.0,169
0.0,6,Layer 1,0.2461725183898199,2.0,169
0.0,7,Layer 1,0.2461725183898199,2.0,169
0.0,8,Layer 1,0.1723207628728739,2.0,169
0.0,9,Layer 1,1.1323935845931712,2.0,169
0.0,10,Layer 1,0.1477035110338919,2.0,169
0.0,11,Layer 1,1.1323935845931714,2.0,169
0.0,12,Layer 1,0.2215552665508379,2.0,169
0.0,13,Layer 1,0.1477035110338919,2.0,169
0.0,14,Layer 1,0.1969380147118559,2.0,169
0.0,15,Layer 1,0.1723207628728739,2.0,169
0.0,16,Layer 1,0.7385175551694596,2.0,169
0.0,17,Layer 1,0.1477035110338919,2.0,169
0.0,18,Layer 1,0.4431105331016757,2.0,169
0.0,19,Layer 1,0.2461725183898199,2.0,169
0.0,20,Layer 1,0.1477035110338919,2.0,169
0.0,21,Layer 1,0.2215552665508379,2.0,169
0.0,22,Layer 1,0.3938760294237117,2.0,169
0.0,23,Layer 1,0.9108383180423334,2.0,169
0.0,24,Layer 1,0.1477035110338919,2.0,169
0.0,25,Layer 1,0.1723207628728739,2.0,169
0.0,26,Layer 1,0.1723207628728739,2.0,169
0.0,27,Layer 1,0.2954070220677839,2.0,169
0.0,28,Layer 1,0.2215552665508379,2.0,169
0.0,29,Layer 1,0.7139003033304776,2.0,169
0.0,30,Layer 1,0.1477035110338919,2.0,169
0.0,31,Layer 1,0.1969380147118559,2.0,169
0.0,32,Layer 1,0.1723207628728739,2.0,169
0.0,33,Layer 1,0.2215552665508379,2.0,169
0.0,34,Layer 1,0.1969380147118559,2.0,169
0.0,35,Layer 1,0.2954070220677839,2.0,169
0.0,36,Layer 1,0.1969380147118559,2.0,169
0.0,37,Layer 1,0.1477035110338919,2.0,169
0.0,38,Layer 1,1.2062453401101172,2.0,169
0.0,39,Layer 1,1.1077763327541894,2.0,169
0.0,40,Layer 1,0.2215552665508379,2.0,169
0.0,41,Layer 1,0.1723207628728739,2.0,169
0.0,42,Layer 1,0.1969380147118559,2.0,169
0.0,43,Layer 1,1.1323935845931712,2.0,169
0.0,44,Layer 1,0.1477035110338919,2.0,169
0.0,45,Layer 1,0.2215552665508379,2.0,169
0.0,46,Layer 1,0.4431105331016758,2.0,169
0.0,47,Layer 1,0.2707897702288019,2.0,169
0.0,48,Layer 1,1.0093073253982614,2.0,169
0.0,49,Layer 1,0.6400485478135316,2.0,169
0.0,0,Layer 2,0.20264338459474673,2.0,169
0.0,1,Layer 2,0.11053275523349815,2.0,169
0.0,2,Layer 2,0.11053275523349815,2.0,169
0.0,3,Layer 2,0.20264338459474673,2.0,169
0.0,4,Layer 2,0.5158195244229922,2.0,169
0.0,5,Layer 2,0.16579913285024728,2.0,169
0.0,6,Layer 2,0.14737700697799772,2.0,169
0.0,7,Layer 2,0.22106551046699652,2.0,169
0.0,8,Layer 2,0.11053275523349815,2.0,169
0.0,9,Layer 2,0.6447744055287401,2.0,169
0.0,10,Layer 2,0.1473770069779976,2.0,169
0.0,11,Layer 2,0.7184629090177389,2.0,169
0.0,12,Layer 2,0.1657991328502474,2.0,169
0.0,13,Layer 2,0.11053275523349815,2.0,169
0.0,14,Layer 2,0.18422125872249706,2.0,169
0.0,15,Layer 2,0.1657991328502474,2.0,169
0.0,16,Layer 2,0.6079301537842406,2.0,169
0.0,17,Layer 2,0.16579913285024728,2.0,169
0.0,18,Layer 2,0.4973973985507425,2.0,169
0.0,19,Layer 2,0.20264338459474673,2.0,169
0.0,20,Layer 2,0.09211062936124847,2.0,169
0.0,21,Layer 2,0.11053275523349815,2.0,169
0.0,22,Layer 2,0.257909762211496,2.0,169
0.0,23,Layer 2,0.9211062936124859,2.0,169
0.0,24,Layer 2,0.09211062936124847,2.0,169
0.0,25,Layer 2,0.12895488110574782,2.0,169
0.0,26,Layer 2,0.12895488110574782,2.0,169
0.0,27,Layer 2,0.1657991328502474,2.0,169
0.0,28,Layer 2,0.1657991328502474,2.0,169
0.0,29,Layer 2,0.8289956642512373,2.0,169
0.0,30,Layer 2,0.12895488110574782,2.0,169
0.0,31,Layer 2,0.12895488110574782,2.0,169
0.0,32,Layer 2,0.12895488110574782,2.0,169
0.0,33,Layer 2,0.12895488110574782,2.0,169
0.0,34,Layer 2,0.12895488110574782,2.0,169
0.0,35,Layer 2,0.1473770069779976,2.0,169
0.0,36,Layer 2,0.09211062936124847,2.0,169
0.0,37,Layer 2,0.09211062936124847,2.0,169
0.0,38,Layer 2,0.5895080279119911,2.0,169
0.0,39,Layer 2,1.0132169229737344,2.0,169
0.0,40,Layer 2,0.18422125872249706,2.0,169
0.0,41,Layer 2,0.11053275523349815,2.0,169
0.0,42,Layer 2,0.1473770069779976,2.0,169
0.0,43,Layer 2,1.1421718040794826,2.0,169
0.0,44,Layer 2,0.09211062936124847,2.0,169
0.0,45,Layer 2,0.1657991328502474,2.0,169
0.0,46,Layer 2,0.29475401395599554,2.0,169
0.0,47,Layer 2,0.22106551046699652,2.0,169
0.0,48,Layer 2,0.4789752726784926,2.0,169
0.0,49,Layer 2,0.22106551046699674,2.0,169
0.0,0,Layer 3,0.21591961852669816,2.0,169
0.0,1,Layer 3,0.09965520855078369,2.0,169
0.0,2,Layer 3,0.13287361140104503,2.0,169
0.0,3,Layer 3,0.11626440997591436,2.0,169
0.0,4,Layer 3,0.18270121567643693,2.0,169
0.0,5,Layer 3,0.09965520855078369,2.0,169
0.0,6,Layer 3,0.13287361140104503,2.0,169
0.0,7,Layer 3,0.1494828128261756,2.0,169
0.0,8,Layer 3,0.11626440997591436,2.0,169
0.0,9,Layer 3,0.5148852441790499,2.0,169
