epsilon,run,layer,fc_state_mean,fc_state_std,fc_state_width_p95_p05,fcv_from_fc_state
0.0,0,Layer 1,0.6580290788927553,0.3215967202726918,0.9136665167903774,0.32064383900703425
0.0,0,Layer 2,0.7764997816928295,0.24635027131688852,0.7333546621563525,0.24562034298264268
0.0,0,Layer 3,0.7652880501151781,0.2572471735486634,0.7263688095444756,0.2564849580257251
0.0,0,Layer 4,0.7824729993333388,0.24023127119352516,0.714047280578667,0.2395194732698669
0.0,1,Layer 1,0.7576448226790057,0.30008554618003974,0.8733480005902321,0.29919640186660534
0.0,1,Layer 2,0.9006621195212077,0.11880230583667901,0.3477152377246304,0.11845029823084052
0.0,1,Layer 3,0.9155757713123537,0.10105139519114349,0.2935090983220804,0.10075198299171381
0.0,1,Layer 4,0.9073813360413152,0.10869019720685905,0.30334202374704666,0.1083681514702258
0.0,2,Layer 1,0.937744188338605,0.07034230104906543,0.20119503753933143,0.07013387895820558
0.0,2,Layer 2,0.9459780621640304,0.07414926609679962,0.2123804795055626,0.07392956408470819
0.0,2,Layer 3,0.9519265131167016,0.06381907436155936,0.1820969952464625,0.06362998039225776
0.0,2,Layer 4,0.9517170434722619,0.06175508738138509,0.18146602486418262,0.06157210894250401
0.0,3,Layer 1,0.7076687237208451,0.3248946855235185,0.9277032384134953,0.3239320324874908
0.0,3,Layer 2,0.885044933167843,0.12579847356797086,0.36472388057569605,0.12542573653069758
0.0,3,Layer 3,0.8277929307909326,0.1987974184705899,0.5344086773652482,0.1982083877878108
0.0,3,Layer 4,0.8758046810543408,0.13673175783679575,0.4082501493408274,0.13632662581196464
0.0,4,Layer 1,0.4328734297196157,0.4448934195191655,1.2726500825277705,0.4435752138971843
0.0,4,Layer 2,0.6847161868169029,0.2679711771787347,0.7811318909479652,0.26717718676038305
0.0,4,Layer 3,0.6916273673672739,0.2618750637181981,0.775935746664928,0.2610991358979505
0.0,4,Layer 4,0.47707050711449617,0.4343437639066024,1.1669766261134502,0.43305681659218054
0.0,5,Layer 1,0.9237418528046615,0.1016071529356082,0.29734861053977013,0.10130609404294581
0.0,5,Layer 2,0.9638074017038517,0.04709652666180122,0.12252054930155842,0.046956981090890165
0.0,5,Layer 3,0.9494443865207114,0.07366956778852099,0.2025657560434232,0.07345128710787457
0.0,5,Layer 4,0.9596422482109462,0.05277335867155942,0.14590005776705206,0.05261699282068469
0.0,6,Layer 1,0.775827280409321,0.22585516232658234,0.597219290076852,0.22518596037467628
0.0,6,Layer 2,0.7851111212242334,0.2536024663333565,0.7266668391285931,0.252851049966645
0.0,6,Layer 3,0.857514870925064,0.16982495989047008,0.4352548869757227,0.1693217737181003
0.0,6,Layer 4,0.8028919615811902,0.2295865680156372,0.6501021908360761,0.228906310022573
0.0,7,Layer 1,0.8273777524413498,0.180274649761395,0.5087502785184048,0.179740501476907
0.0,7,Layer 2,0.8981561861274956,0.10141921596505198,0.29395820704349795,0.10111871392389671
0.0,7,Layer 3,0.9001252501003847,0.10220928885490396,0.3032610605694033,0.10190644585189249
0.0,7,Layer 4,0.8124526578215961,0.19000230666395962,0.5085607966852074,0.18943933562899917
0.0,8,Layer 1,0.8572506310580928,0.20058038184261184,0.5656952592712697,0.19998606829378518
0.0,8,Layer 2,0.9437234375010614,0.0776136321636128,0.2160584706412415,0.07738366534061274
0.0,8,Layer 3,0.9407448502522752,0.08303148381568154,0.22944446354253833,0.08278546406361247
0.0,8,Layer 4,0.8994255794594055,0.1456503056245719,0.4343354689914103,0.14521874821487796
0.0,9,Layer 1,-0.1548370325986741,0.2971416046330524,0.9067994275314948,0.2962611831285601
0.0,9,Layer 2,0.4076389820172936,0.20724686018837202,0.6179349718643558,0.20663279406769638
0.0,9,Layer 3,0.4587893878137199,0.16036357474195206,0.5337806609031901,0.15988842236497525
0.0,9,Layer 4,0.44637295511907676,0.16375617156675726,0.5205180808901817,0.16327096702894517
0.0,10,Layer 1,0.8257367403820587,0.19622570561134478,0.5386182284599026,0.19564429483526796
0.0,10,Layer 2,0.9233577384967083,0.08775409805738729,0.262916150494223,0.08749408534347448
0.0,10,Layer 3,0.9302300967366108,0.07731923892401986,0.22034900293012372,0.07709014437920257
0.0,10,Layer 4,0.9328253188985349,0.07131592495000688,0.20730183004794978,0.07110461804124775
0.0,11,Layer 1,0.478029204412586,0.3521995700534595,1.028463474992572,0.35115601347803155
0.0,11,Layer 2,0.6131161002860167,0.22221558382268813,0.6580461726787185,0.22155716583079355
0.0,11,Layer 3,0.6987900133301773,0.19822364343383386,0.6174867324195579,0.19763631282897468
0.0,11,Layer 4,0.5848493428740267,0.2959301716255353,0.8606110518223675,0.2950533395600662
0.0,12,Layer 1,0.8741893910520475,0.1348983321479479,0.36415441127652626,0.13449863250746882
0.0,12,Layer 2,0.9176078449647671,0.0953138388323405,0.28121803962170844,0.09503142683726717
0.0,12,Layer 3,0.8932613177994688,0.13173752099475317,0.3571279286121246,0.13134718674123952
0.0,12,Layer 4,0.9117361371639149,0.10097052227737989,0.28799879932028305,0.10067134970192512
0.0,13,Layer 1,0.845855487902646,0.18855571015928643,0.5345681368309317,0.18799702534561297
0.0,13,Layer 2,0.8979966269188593,0.1364931435073524,0.3572723138131356,0.13608871848949583
0.0,13,Layer 3,0.9130100413610366,0.11686092544319061,0.3187204975046881,0.11651467008819874
0.0,13,Layer 4,0.833289727156448,0.22479814224192887,0.6484262407914401,0.22413207220826886
0.0,14,Layer 1,0.8248065870421621,0.18892551627093387,0.5804824759545331,0.1883657357330396
0.0,14,Layer 2,0.8295421455184108,0.22435899711731502,0.5659930264535691,0.2236942282572546
0.0,14,Layer 3,0.8951430963695285,0.12903768162400628,0.38344397213005854,0.12865534691213745
0.0,14,Layer 4,0.8658916063951084,0.1690962161046766,0.4612685373804878,0.16859518917789976
0.0,15,Layer 1,0.8160011621593785,0.22587933094865545,0.6959213742832262,0.22521005738585995
0.0,15,Layer 2,0.9111343834561025,0.10015203206696173,0.31598145550782986,0.09985528465301662
0.0,15,Layer 3,0.902855642958116,0.12073884413848912,0.3852220978273041,0.12038109862877376
0.0,15,Layer 4,0.908895772736308,0.10767018466105731,0.32263806540479556,0.10735116119046215
0.0,16,Layer 1,0.33552372991708496,0.44353648166066456,1.2767118604848555,0.44222229660413853
0.0,16,Layer 2,0.6840084376891385,0.18797666431922605,0.5182489608401496,0.18741969520070165
0.0,16,Layer 3,0.6866696673653233,0.1911827906546513,0.535456871863577,0.1906163218816598
