species,recording_id,root_area_id,node,n_clusters,EdgeStdFCV,FCS,ProfileCorrDistFCV,NetTE,NeighborNetTE,te_source,anatomy_group,complete_five_measures
Zebrafish,subject_12,0,MON,1,0.2986618161273212,0.0654994508129081,0.5549112109152077,-0.0221185327548997,-0.0007275014695989,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,1,Cb,3,0.28747077474849,0.2356356736901673,0.5312653991114424,0.0043159757210563,0.0006007902934233,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,2,MOS1,3,0.2936473669814159,0.2948547368380223,0.3355977443980305,0.0057770567478165,0.0005162718529636,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,3,MOS2,1,0.252397532981229,0.3237373265928152,0.2104900699031823,0.0135041108143134,0.0001501432583492,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,4,MOS3,2,0.3047427431062824,0.2960685608414876,0.3463448863999894,0.0036086591219633,0.000595867746665,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,5,MOS4,1,0.2668073249879713,0.3233694695890315,0.2533997581843591,0.008583649633147,0.0006367586347808,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,6,MOS5,2,0.2921313922895192,0.2439741099858112,0.3604635591703491,-0.0031130433894458,0.0009639361476507,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,7,IPN,1,0.3167035148464949,0.1009649860479585,0.7528673426132102,-0.0021244422289796,-0.001639302213286,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,8,IO,1,0.3128743298031727,0.1210003815008808,0.65191370156348,0.001286605945456,0.0007226823726691,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,10,Ra,1,0.3292076849883602,0.2017195703589149,0.4845806775189105,-0.0003348667195635,0.0006565047992925,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,11,T,2,0.3040399624181056,0.3311500762944364,0.4122546985408235,0.0020755325599597,0.0002122112103071,computed_from_spatial_unit_calcium,Mes,True
Zebrafish,subject_12,12,aRF,1,0.2786619411834523,0.2975007910636428,0.3151414618356873,0.0015402691665001,0.0007434468669801,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,13,imRF,1,0.2560221204981127,0.3219466004562278,0.2208369220054164,-0.0008217511878821,0.0006091156030381,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,14,pRF,1,0.2558138181495344,0.3104508356362369,0.2195380751283498,0.0067988428505098,0.0005344458901477,computed_from_spatial_unit_calcium,Hind,True
Zebrafish,subject_12,16,Hb,1,0.3421079612873121,0.0427029418003617,0.7831619445077689,-0.0045025624979719,-0.0013604594424476,computed_from_spatial_unit_calcium,Di,True
Zebrafish,subject_12,17,Hi,1,0.2696989518628653,0.159153269055108,0.5796874357304584,-0.0095553125453493,0.0007599458644766,computed_from_spatial_unit_calcium,Di,True
Zebrafish,subject_12,19,OG,1,0.2224041553778506,0.0402646448274344,0.79959615827742,-0.002597415637039,-0.0089060192938089,computed_from_spatial_unit_calcium,Tel,True
Zebrafish,subject_12,20,OB,1,0.3668197845546361,0.0456084592399244,0.7082583500847283,0.0024964953952942,6.54086530877718e-06,computed_from_spatial_unit_calcium,Tel,True
Zebrafish,subject_12,21,OE,1,0.359472995946888,0.0458508495869222,0.7770303006207985,0.0042998655314947,-0.0005824884368543,computed_from_spatial_unit_calcium,Tel,True
Zebrafish,subject_12,22,P,2,0.3514891943468322,0.0730452559034799,0.6598457630825144,0.0011192630451274,-0.0013030950515731,computed_from_spatial_unit_calcium,Tel,True
Zebrafish,subject_12,24,PT,1,0.317124287638903,0.2314092612690027,0.53309657031896,-0.012826966568308,0.0006720339182087,computed_from_spatial_unit_calcium,Di,True
Zebrafish,subject_12,25,PO,1,0.3517069016775574,0.1859126374586656,0.5603927013432464,-0.0040657364528414,0.0005351775179577,computed_from_spatial_unit_calcium,Tel,True
Zebrafish,subject_12,26,PrT,1,0.2957007567184253,0.3192781543048459,0.4144352455679265,-0.0045208035380599,0.0006714589828311,computed_from_spatial_unit_calcium,Di,True
