subject,stimulus_index,stimulus_label,root_area_id,node,n_neurons,n_frames,n_windows,FCV_raw,FCS_raw,FCV_z,FCS_z
12,10,OMR forward,0,MON,863,150,27,0.3193863141221091,0.055141364647089304,0.5805310439397551,-2.251251451254412
12,10,OMR forward,1,Cb,1625,150,27,0.22239226256602013,0.6802818049254405,-0.6495776040741753,0.7386811361613013
12,10,OMR forward,2,MOS1,1419,150,27,0.21478430182826266,0.6971547159278804,-0.7460641220319705,0.8193811888219433
12,10,OMR forward,3,MOS2,558,150,27,0.19853619731279912,0.6917504451320287,-0.9521276234287341,0.7935335483196886
12,10,OMR forward,4,MOS3,1297,150,27,0.25181284925982333,0.6780471613150899,-0.276456597774496,0.7279932437752756
12,10,OMR forward,5,MOS4,882,150,27,0.2185798542435317,0.6904468584053465,-0.6979277489749826,0.7872987310154455
12,10,OMR forward,6,MOS5,1182,150,27,0.24138766373187107,0.6606883733959003,-0.40867203438472904,0.6449693305334551
12,10,OMR forward,7,IPN,24,150,27,0.3281544298283024,0.5151860239701948,0.691731007070876,-0.05094184088229449
12,10,OMR forward,8,IO,1,150,27,0.3460594117063058,0.536871239513787,0.9188075411192363,0.05277458576585301
12,10,OMR forward,9,Hc,0,150,27,,,,
12,10,OMR forward,10,Ra,254,150,27,0.3786277184531063,0.2674533650132602,1.3318489095091592,-1.235801917527911
12,10,OMR forward,11,T,1266,150,27,0.20906437703795935,0.6931224334898697,-0.8186059824621699,0.8000955181369624
12,10,OMR forward,12,aRF,264,150,27,0.3606806303717075,0.62218686705655,1.1042383715285913,0.46082365533548075
12,10,OMR forward,13,imRF,382,150,27,0.26474239801346616,0.664526503443221,-0.11248004991808956,0.6633264057822005
12,10,OMR forward,14,pRF,485,150,27,0.20366647689417855,0.6910777073082764,-0.8870638264376911,0.79031596613747
12,10,OMR forward,16,Hb,309,150,27,0.3860251768306079,0.38781435317994745,1.4256657712393421,-0.6601372866924811
12,10,OMR forward,17,Hi,35,150,27,0.2910259879257158,0.570452541211083,0.22085659014600237,0.21338782049415986
12,10,OMR forward,18,HR,0,150,27,,,,
