recording_id,root_area_id,node,NetTE,n_functional_units,legacy_order,anatomy_group
subject_12,0,MON,-0.02211853275489976,1,4,Hind
subject_12,1,Cb,0.004315975721056394,3,2,Hind
subject_12,2,MOS1,0.0057770567478165995,3,5,Hind
subject_12,3,MOS2,0.013504110814313413,1,6,Hind
subject_12,4,MOS3,0.0036086591219633606,2,7,Hind
subject_12,5,MOS4,0.008583649633147042,1,8,Hind
subject_12,6,MOS5,-0.0031130433894458135,2,9,Hind
subject_12,10,Ra,-0.00033486671956353247,1,15,Hind
subject_12,11,T,0.00207553255995975,2,17,Mes
subject_12,16,Hb,-0.004502562497971958,1,3,Di
subject_12,20,OB,0.0024964953952942128,1,1,Tel
subject_12,22,P,0.0011192630451274175,2,11,Tel
subject_12,24,PT,-0.012826966568308003,1,13,Di
subject_12,25,PO,-0.004065736452841475,1,12,Tel
subject_12,26,PrT,-0.004520803538059982,1,14,Di
subject_12,28,SP,0.005342812036217131,1,16,Tel
subject_12,29,TeO,-6.50346486742252e-05,15,19,Mes
subject_12,30,Th,-0.006367699076921544,2,20,Di
subject_12,32,TS,-0.001514340726538796,1,18,Mes
subject_12,35,NX,0.015466687366890015,1,10,Hind
subject_12,36,rMON,-0.014584953186320873,2,23,Hind
subject_12,37,rCb,0.0017755168968816416,3,21,Hind
subject_12,38,rMOS1,0.004430654851763542,3,24,Hind
subject_12,39,rMOS2,0.010540939415864991,1,25,Hind
subject_12,40,rMOS3,0.002297846623364672,3,26,Hind
subject_12,41,rMOS4,0.007911923674447851,2,27,Hind
subject_12,42,rMOS5,0.001882239438544141,3,28,Hind
subject_12,46,rRa,0.001965851799746046,1,34,Hind
subject_12,47,rT,-0.006399534908414342,3,36,Mes
subject_12,48,raRF,-0.024028074827228085,1,40,Hind
subject_12,49,rimRF,0.0009875353756130714,1,41,Hind
subject_12,50,rpRF,0.006663942364666484,1,42,Hind
subject_12,52,rHb,-0.009067218516142676,1,22,Di
subject_12,58,rP,0.0047054411308446835,2,30,Tel
subject_12,60,rPT,-0.005807503156422734,1,32,Di
subject_12,61,rPO,-0.006863646615132947,1,31,Tel
subject_12,62,rPrT,0.0033894630420752176,1,33,Di
subject_12,64,rSP,-0.0003223813338591482,1,35,Tel
subject_12,65,rTeO,0.0008062984538299237,18,38,Mes
subject_12,66,rTh,-0.0018865183591263786,2,39,Di
subject_12,68,rTS,-0.0027712257897131417,1,37,Mes
subject_12,71,rNX,0.015945472352468897,1,29,Hind
subject_13,0,MON,-0.004872679353980157,2,4,Hind
subject_13,1,Cb,0.0003005145901633869,4,2,Hind
subject_13,2,MOS1,0.003096553267984418,2,5,Hind
subject_13,3,MOS2,0.002275762963040961,1,6,Hind
subject_13,4,MOS3,0.0017028945302289755,2,7,Hind
