node,EdgeStdFCV,FCV_raw,NetTE,NetTE_raw,n_recordings,DCA,PostDCA,PreDCA,OO_fraction,LogOutIn,out_degree,in_degree,out_strength,in_strength,fine_class
ADAL,-0.5645331308689884,0.32480254676805836,-0.21967393020492196,-0.001064324187105153,12,0.043231531521612,-0.05064603038209639,0.02642218250136469,0.5238095238095238,0.9694005571881035,21,14,86.0,32.0,interneuron / integrative
ADAR,-1.113147654729424,0.3270546886483297,-0.6823760885515164,-0.0047104717154969255,1,0.0344553324992172,-0.04561813317491048,0.03226774126087735,0.4444444444444444,0.7348198769605134,18,16,97.0,46.0,interneuron / integrative
ADEL,-0.9594141943952315,0.3161208605894465,-0.2170388590722971,-0.0015773142923196546,15,0.023733010158832266,-0.03157723490466476,0.13833551650579073,0.5294117647058824,1.170932950247736,34,6,128.0,39.0,mechanosensory / other sensory
ADER,-1.2232814183382559,0.315581091160942,-0.2957958944789053,-0.0021174454822858305,8,0.030708525812929238,-0.03796097917302404,0.05571548110690779,0.68,0.8434293836092832,25,11,85.0,36.0,mechanosensory / other sensory
ADLL,-0.23929789109842897,0.3476895114569698,-0.049713281509379946,-0.0007280455667782073,9,0.061003340087422794,-0.022001107918104817,0.036459653650308406,0.6666666666666666,2.0082140323914683,24,9,148.0,19.0,chemosensory
ADLR,0.3055842551818766,0.3504324058742791,-0.34535505474722633,-0.002160362995707945,5,0.05420190765811401,-0.016382668616905082,0.013006495612970835,0.56,1.0601460078403135,25,17,152.0,52.0,chemosensory
AIBL,0.9811584144444143,0.3669502045467621,1.4402084143813103,0.010250074321036433,16,0.017716058375571775,-0.036244390681728245,0.02104200560730591,0.5,-0.4093335848860847,22,32,171.0,258.0,associative interneuron
AIBR,0.882057826728195,0.3684906392031054,0.9932873148010786,0.008961018710667245,16,-0.008892964148010628,-0.018654001099116604,0.018793678479018937,0.0,-0.7919477653040387,25,32,129.0,286.0,associative interneuron
AIML,0.9682120050249027,0.37655962218405015,-0.14276843490915367,-0.001205506341635784,3,0.001864236399970721,0.003309356207951187,0.0051363806060069385,0.7222222222222222,1.0498221244986776,18,8,59.0,20.0,associative interneuron
AIMR,0.7859425918356191,0.3643558354268634,0.22022917968452266,0.0010935364079809205,4,0.005007474122336001,0.0063194784662808905,0.014497058576726406,0.8181818181818182,1.3564413979702095,22,7,65.0,16.0,associative interneuron
AINL,0.36408361214509594,0.3467940985373328,-0.4760404515403147,-0.003082904521864983,12,0.00557543643940722,-0.002740627439249854,0.016390261818372182,0.5714285714285714,1.6739764335716716,14,7,47.0,8.0,associative interneuron
AINR,-0.42161414584859713,0.3297584715667852,-0.66687722001563,-0.005266579726939147,11,0.005342359421000152,0.005004504278759235,0.008238145376083576,0.7058823529411765,2.0243817644968085,17,3,52.0,6.0,associative interneuron
AIYL,-0.7230306432351438,0.32125978116393344,-0.7691790328795988,-0.00547380295352741,3,0.0796415296804292,0.038771193407326966,0.014331784418468448,0.8333333333333334,0.45347432729452497,12,12,191.0,121.0,associative interneuron
AIYR,-0.13117592467991573,0.34126716549268754,-0.6048554935217242,-0.003992823824709222,4,0.08128233102633371,0.053873359913856195,0.009070448675801828,0.7857142857142857,0.4380086558406358,14,12,202.0,130.0,associative interneuron
AIZL,-0.8896283397981748,0.3189036652601972,-0.35689764884020775,-0.002603927438322043,15,0.024022533131037485,0.020418109966675525,0.047446765068238514,0.55,0.1375555429242481,20,23,248.0,216.0,associative interneuron
AIZR,-1.3167768173715089,0.30919850069872806,-0.5046944732277586,-0.0032384434956337547,16,0.014417380085297957,0.02045820228450981,0.04850286835390556,0.5625,-0.09627683043541983,16,18,187.0,206.0,associative interneuron
ALA,-0.36701664908010195,0.3308474478386595,0.19378046946338734,0.0027614535656343272,2,0.014358898927560513,-0.04409104932453607,0.03398611423339799,0.42857142857142855,0.6931471805599453,7,5,25.0,12.0,state-modulatory interneuron
AQR,-0.5066122518514025,0.3250561370982835,-0.43468118038818176,-0.004113827537900137,4,0.03954519495037689,-0.020944424426081094,0.03929521491471907,0.5789473684210527,0.9162907318741551,19,10,84.0,33.0,thermo/gas sensory
ASEL,0.599955829939769,0.35583272844042974,0.16959350221699096,0.001215091772316471,14,0.012281635219398748,0.04065598903209648,0.009250719703064583,0.7647058823529411,1.2299482907291965,17,13,129.0,37.0,chemosensory
ASER,0.7767348229380608,0.36787448297781095,-0.13504727706752892,-0.0008665340645557285,7,0.006619830075471296,0.03412583407401292,0.016717745788310784,0.7058823529411765,0.38414233863934316,17,21,115.0,78.0,chemosensory
ASGL,0.8774079464590946,0.3692083361866547,0.33006279246129416,0.0024201004346845792,15,0.010990308402045727,-0.00523923392567196,0.008497258453331973,0.75,1.329135947279942,4,7,67.0,17.0,chemosensory
ASGR,0.24483231593063662,0.3453047098151261,-0.08401716954555415,-0.0005040772822607927,12,0.011285970430910322,-0.0032007243289949934,0.007720601207632898,0.6,1.2039728043259361,5,11,89.0,26.0,chemosensory
ASHL,0.6739105741710921,0.3597867914247744,0.37132950591288394,0.0022792022153304845,7,0.07718054378469968,-0.017394877449489008,0.022404898302977812,0.75,1.820332841672111,20,10,141.0,22.0,chemosensory
ASIL,1.1970866729141032,0.3802033625615744,0.0002251319687590736,0.0003703870462438736,5,0.005532606860456084,0.03156597016887379,0.006875717777584479,0.8823529411764706,0.8938178760220965,17,5,43.0,17.0,chemosensory
ASIR,0.4848124516431815,0.3564386913620721,-0.32564111745933305,-0.0029448759084698246,6,0.0012844460562195551,0.007825363361694747,0.019999902767026543,0.75,1.3862943611198906,12,4,27.0,6.0,chemosensory
ASKL,0.582877038584547,0.36586973259186983,-0.15601008178904321,-0.0023892989927278194,3,0.005637188683971254,-0.0047926839168322315,0.0005737168630693385,0.6,-0.04000533461369913,5,9,48.0,50.0,chemosensory
ASKR,-0.11149078890339838,0.3484471518932213,-0.3353166536996209,-0.0029661025829440506,3,0.005236449599306237,-0.0025467418217098624,0.0013774354586014838,0.75,0.7295148247308201,12,6,55.0,26.0,chemosensory
AUAL,-0.23748634077411201,0.3367140456847287,-0.5394871344717267,-0.003928716780712806,16,0.05539819959890707,-0.023395494995850554,0.01724329412703597,0.6666666666666666,0.5679840376059393,12,8,89.0,50.0,associative interneuron
AUAR,-0.16183753551876254,0.3274909292242817,0.44429117134918295,0.0034284494640777507,7,0.03008836258753745,0.03973604463237958,0.04085272093336125,0.8,0.44320543609101143,10,10,80.0,51.0,associative interneuron
AVAL,0.9531742317394887,0.3713080327033821,0.02120303574004781,-0.0006192699280019461,16,-0.3475908601054679,-0.02958177099653405,0.08642304525979254,0.0,-0.9065051814514368,42,63,266.0,660.0,locomotor command interneuron
AVAR,0.6793501637216899,0.36374262935303253,-0.06029223526132838,-4.3152698768457205e-06,14,-0.37754256865325286,-0.014894558086750664,0.08479525555318265,0.0,-0.8751742299154585,44,58,282.0,678.0,locomotor command interneuron
AVBL,0.92441477491589,0.38733411016946173,1.6009632428943477,0.008911354267201493,4,-0.06481044218336818,-0.13135199333648948,0.040314750308445085,0.0,-1.6671170240207784,21,45,63.0,338.0,locomotor command interneuron
AVBR,0.11537258711193787,0.32824578326567333,-0.13036736641327884,0.0002992295401094973,2,-0.04980696158757987,-0.15953827468999796,0.02333606465393549,0.0,-1.7740598921286541,19,47,56.0,335.0,locomotor command interneuron
AVDL,-1.141082090819013,0.30953309949005425,-0.27740112497769787,-0.0015672902733716888,16,0.023882628388551763,-0.1976308639085833,0.07930658984297495,0.16666666666666666,-0.6218223997380151,24,38,137.0,256.0,locomotor command interneuron
AVDR,-1.3811411667479467,0.30233947369832803,-0.40067621483152344,-0.002173203573056933,12,0.08840366001358069,-0.2185806460781531,0.06608332132350954,0.2857142857142857,-0.3879974150677734,28,43,153.0,226.0,locomotor command interneuron
AVEL,0.6125699008848339,0.3686021152318686,0.5846247312105691,0.0033887608277396244,12,-0.0458892059602153,-0.0709595308663096,0.0383452695819316,0.0,-0.9393560048051511,20,43,119.0,306.0,locomotor command interneuron
AVER,0.6490831155000594,0.36253633587122697,-0.02985884376115016,-0.000281733793969708,14,0.018169440660243577,-0.13458505586672906,0.026970871049410344,0.28,-0.7925196543731491,25,44,133.0,295.0,locomotor command interneuron
AVHL,-1.5393602046573183,0.31445315711348804,-0.058292755565341636,-0.0020582147084433466,6,0.0034255894904313567,-0.0037987991750636886,0.013692702284676178,0.5652173913043478,0.2336148511815051,23,17,47.0,37.0,interneuron / integrative
AVJL,-1.0183147180864291,0.3174006061407269,-0.5270465647011452,-0.0037529957392482306,17,-0.005048954189451026,-0.042968580240449875,0.022719128794606337,0.0,-1.0379876668516748,15,26,33.0,95.0,interneuron / integrative
AVJR,-1.2501468356451995,0.3085076297053733,-0.2001224175365693,-0.0013476311077501326,14,0.023665757056180424,-0.0691859534654239,0.03374574339136786,0.4,-0.3513978868378886,15,26,56.0,80.0,interneuron / integrative
AVKL,0.7325890634075376,0.36366267568278526,-0.6616876358197228,-0.004750847542065648,2,0.0023671535166696197,0.013302744200999616,0.0023213032232193144,0.6,-0.7205461547480597,15,11,35.0,73.0,interneuron / integrative
AVKR,0.12900617438282866,0.3286235136360026,-0.2862473195984435,-0.0017717588481610137,2,-0.0011708820484858367,-0.013546221034543574,0.007062585823538958,0.0,-0.7062192621272981,17,12,37.0,76.0,interneuron / integrative
AVL,-0.1540622413511156,0.3288936190036294,-0.2785304336643326,-0.0029971716687301085,5,-0.003229846208171145,-0.006958940280524087,0.02029752229608314,0.0,-0.15415067982725836,18,16,53.0,62.0,interneuron / integrative
AWAL,0.576218179887573,0.36463455657765653,-0.3714725936532773,-0.0027171383911552285,11,0.001022696555117368,0.023494440547998898,0.06721188020040164,0.875,1.0628942060660305,8,4,54.0,18.0,chemosensory
AWAR,-0.4660096988500855,0.3247666938112305,-0.40195399161935674,-0.002819746149267625,10,0.00915751768819353,0.017820815968817974,0.01027781708624792,0.7692307692307693,1.452252328911688,13,11,93.0,21.0,chemosensory
