node,DCA,PostDCA,PreDCA,OO_fraction,out_degree,in_degree
ADAL,0.043231531521612,-0.05064603038209639,0.02642218250136469,0.5238095238095238,21,14
ADAR,0.0344553324992172,-0.04561813317491048,0.03226774126087735,0.4444444444444444,18,16
ADEL,0.023733010158832266,-0.03157723490466476,0.13833551650579073,0.5294117647058824,34,6
ADER,0.030708525812929238,-0.03796097917302404,0.05571548110690779,0.68,25,11
ADFL,0.05997988311050297,0.05795670921120798,0.024216508298256303,0.5,20,9
ADFR,0.06253777413086734,0.08226657196924717,0.031184061780168904,0.8095238095238095,21,15
ADLL,0.061003340087422794,-0.022001107918104817,0.036459653650308406,0.6666666666666666,24,9
ADLR,0.05420190765811401,-0.016382668616905082,0.013006495612970835,0.56,25,17
AFDL,-0.0008800357117091486,0.06024022453133566,0.013718165633294742,0.0,6,9
AFDR,-0.0014791481599076056,0.06843052913066434,0.010421712847582518,0.0,4,9
AIAL,-0.014655668730754006,0.01525004481346095,0.02309538054357857,0.0,18,22
AIAR,-0.010961044823720205,0.010182689569106281,0.02010632648809271,0.0,11,14
AIBL,0.017716058375571775,-0.036244390681728245,0.02104200560730591,0.5,22,32
AIBR,-0.008892964148010628,-0.018654001099116604,0.018793678479018937,0.0,25,32
AIML,0.001864236399970721,0.003309356207951187,0.0051363806060069385,0.7222222222222222,18,8
AIMR,0.005007474122336001,0.0063194784662808905,0.014497058576726406,0.8181818181818182,22,7
AINL,0.00557543643940722,-0.002740627439249854,0.016390261818372182,0.5714285714285714,14,7
AINR,0.005342359421000152,0.005004504278759235,0.008238145376083576,0.7058823529411765,17,3
AIYL,0.0796415296804292,0.038771193407326966,0.014331784418468448,0.8333333333333334,12,12
AIYR,0.08128233102633371,0.053873359913856195,0.009070448675801828,0.7857142857142857,14,12
AIZL,0.024022533131037485,0.020418109966675525,0.047446765068238514,0.55,20,23
AIZR,0.014417380085297957,0.02045820228450981,0.04850286835390556,0.5625,16,18
ALA,0.014358898927560513,-0.04409104932453607,0.03398611423339799,0.42857142857142855,7,5
ALML,0.01592050614921678,-0.015162247383158613,0.015501036307871141,0.6,15,11
ALMR,0.006872487157364151,-0.010875964019629172,0.024573903790465222,0.5,8,4
ALNL,0.0033209558954492594,0.041740936255435936,-0.03376298345397694,0.5,8,4
ALNR,0.01239609404850294,-0.06564805925172687,-0.018220215712096918,0.5,8,9
AQR,0.03954519495037689,-0.020944424426081094,0.03929521491471907,0.5789473684210527,19,10
AS1,-0.005619690439160078,-0.006830983885032407,-0.017235648676907533,0.0,4,10
AS10,-0.0060715585391254365,0.0012807041846962402,-0.0862222068315804,0.0,2,8
AS11,-0.014523815949536441,0.0005963409033972574,-0.1705137307021879,0.0,3,8
AS2,-0.0038851707791716012,-0.003998895806390847,-0.07148539608453078,0.0,4,9
AS3,-0.0011687029073483614,-0.0022616945041576994,-0.012240009075309363,0.0,2,5
AS4,-0.00325760296095139,-0.0031336453711299666,-0.06518987824846767,0.0,5,9
AS5,-0.00325082415705886,0.0022288308947371618,-0.17387304039588486,0.0,1,6
AS6,-0.0005524688016361859,0.0007995125051734987,-0.06809310772631738,0.0,3,4
AS7,-0.004296603841152385,-0.00016741852849971623,-0.1700975936233927,0.0,1,6
AS8,-0.005823424396457117,1.7002153993448212e-05,-0.18563367986400633,0.0,1,6
AS9,-0.00803003814653305,-0.0007705732099953305,-0.24534043116044824,0.0,1,5
ASEL,0.012281635219398748,0.04065598903209648,0.009250719703064583,0.7647058823529411,17,13
ASER,0.006619830075471296,0.03412583407401292,0.016717745788310784,0.7058823529411765,17,21
ASGL,0.010990308402045727,-0.00523923392567196,0.008497258453331973,0.75,4,7
ASGR,0.011285970430910322,-0.0032007243289949934,0.007720601207632898,0.6,5,11
ASHL,0.07718054378469968,-0.017394877449489008,0.022404898302977812,0.75,20,10
ASHR,0.05543275307443601,-0.0128749496514875,0.021132163582864228,0.7,20,17
ASIL,0.005532606860456084,0.03156597016887379,0.006875717777584479,0.8823529411764706,17,5
ASIR,0.0012844460562195551,0.007825363361694747,0.019999902767026543,0.75,12,4
ASJL,-0.0002794624979656712,0.003545797113115712,-0.0024566798799971613,0.0,8,7
ASJR,-0.0003852445212114417,0.0028768834266100184,0.007678304375922693,0.0,3,4
ASKL,0.005637188683971254,-0.0047926839168322315,0.0005737168630693385,0.6,5,9
ASKR,0.005236449599306237,-0.0025467418217098624,0.0013774354586014838,0.75,12,6
AUAL,0.05539819959890707,-0.023395494995850554,0.01724329412703597,0.6666666666666666,12,8
AUAR,0.03008836258753745,0.03973604463237958,0.04085272093336125,0.8,10,10
AVAL,-0.3475908601054679,-0.02958177099653405,0.08642304525979254,0.0,42,63
AVAR,-0.37754256865325286,-0.014894558086750664,0.08479525555318265,0.0,44,58
AVBL,-0.06481044218336818,-0.13135199333648948,0.040314750308445085,0.0,21,45
AVBR,-0.04980696158757987,-0.15953827468999796,0.02333606465393549,0.0,19,47
AVDL,0.023882628388551763,-0.1976308639085833,0.07930658984297495,0.16666666666666666,24,38
AVDR,0.08840366001358069,-0.2185806460781531,0.06608332132350954,0.2857142857142857,28,43
AVEL,-0.0458892059602153,-0.0709595308663096,0.0383452695819316,0.0,20,43
AVER,0.018169440660243577,-0.13458505586672906,0.026970871049410344,0.28,25,44
AVFL,0.0009695323765539499,-0.0009450253586605606,0.010545809829773755,0.6666666666666666,21,15
AVFR,0.010778052157277196,-0.01994611293436585,0.003564207583311232,0.6,20,11
AVG,0.015684551758459953,-0.04078541812492189,0.029466974621270306,0.5454545454545454,22,12
AVHL,0.0034255894904313567,-0.0037987991750636886,0.013692702284676178,0.5652173913043478,23,17
AVHR,0.0049314041218041504,0.005882938798351971,0.015447123864125532,0.6666666666666666,18,17
AVJL,-0.005048954189451026,-0.042968580240449875,0.022719128794606337,0.0,15,26
AVJR,0.023665757056180424,-0.0691859534654239,0.03374574339136786,0.4,15,26
AVKL,0.0023671535166696197,0.013302744200999616,0.0023213032232193144,0.6,15,11
AVKR,-0.0011708820484858367,-0.013546221034543574,0.007062585823538958,0.0,17,12
AVL,-0.003229846208171145,-0.006958940280524087,0.02029752229608314,0.0,18,16
AVM,0.03461467915276697,-0.02659763218651984,0.006811756472447234,0.5,20,3
AWAL,0.001022696555117368,0.023494440547998898,0.06721188020040164,0.875,8,4
AWAR,0.00915751768819353,0.017820815968817974,0.01027781708624792,0.7692307692307693,13,11
AWBL,0.016181253663143845,0.043916101600973693,0.014436885204251472,0.625,16,9
AWBR,0.004407860223334845,0.04129735848986095,0.026212300367396173,0.9333333333333333,15,8
AWCL,0.010027103081184811,0.035887108488184834,0.014307224675127916,0.5714285714285714,14,12
AWCR,0.005196214265788807,0.03096664110158171,0.016059526984880428,0.7647058823529411,17,14
BAGL,0.030515701992630463,0.030090714343479253,0.016160678651691154,0.5789473684210527,19,9
BAGR,0.03213310612285167,0.0023950187902157766,0.03225587935638777,0.45454545454545453,11,12
BDUL,-0.0014886382814131632,0.02098718402549387,0.017706921600304827,0.0,12,6
BDUR,0.017530028442042173,-0.04061673489895799,0.012425032047518445,0.6153846153846154,13,7
CEPDL,0.02002508383416581,0.0018778648129813011,0.03116423405520529,0.6538461538461539,26,20
CEPDR,0.010027908579738147,0.0292962675614809,0.035803271109127406,0.5714285714285714,21,10
CEPVL,0.013663896893622754,0.008011582334822553,0.04054094225929187,0.5714285714285714,21,13
CEPVR,0.004542500366460606,0.020900538038782154,0.040326922943057404,0.6190476190476191,21,20
DA1,-0.02067329563832773,0.0016600044183927992,-0.03869626415236735,0.0,5,9
DA2,-0.019121510198013378,-0.00406380528545517,-0.13080989362630593,0.0,6,13
DA3,-0.02180048235437574,-0.0018596765805629272,-0.11510766998818062,0.0,6,12
DA4,-0.012830209654998622,0.0007033027748084862,-0.20782958110840946,0.0,4,10
DA5,-0.013886784424789472,0.0004998198339102808,-0.20030860741941733,0.0,5,14
DA6,-0.0012537885580682668,0.00021252002879679959,-0.14012995784646626,0.0,7,5
DA7,-0.004500499775866154,-0.00027656435373262254,-0.1464650947261087,0.0,6,7
DA8,-0.01475963995035441,0.0002676260197770797,-0.14022399398987886,0.0,10,16
DA9,-0.00536994676527355,0.001000234080590345,-0.03295392777123929,0.0,11,9
DB1,0.0042793686200475155,-0.007623431080233653,0.001558571916273541,0.1111111111111111,9,6
DB2,-0.002209804064624124,-0.005150505684002298,-0.06959376599621402,0.0,9,7
DB3,-0.0055254818021916305,-0.0008291333165093997,-0.049530274941083224,0.0,10,9
DB4,-0.006043721502148853,-0.0010151330252196743,-0.04192515540157656,0.0,7,9
DB5,0.0005536397616684042,-0.0013479136693337016,-0.0012537885580682668,0.2222222222222222,9,1
DB6,0.00048803063787983833,-0.0023315321260791886,-0.004500499775866154,0.14285714285714285,7,1
DB7,-0.004754110859223752,-0.0007190011555034306,-0.04031256558890322,0.0,9,8
DD1,-0.011274931368813348,-0.011660259080850884,0.004847269055115874,0.0,3,25
DD2,-0.0009142189836068811,-0.011526092567217898,-0.0032209483732514865,0.0,3,17
DD3,-0.0005111104189783435,-0.013886784424789472,-0.003612721962757416,0.0,1,12
DD4,-9.70772102965059e-05,,-0.005443075853622876,,0,7
DD5,-0.0020940829753993344,,0.0005865133865694182,,0,10
DD6,-0.0007390574574512267,,-0.002206831869038816,,0,21
DVA,0.03643719420354599,-0.006821089039819679,0.02174194706372704,0.4186046511627907,43,27
DVB,0.002095042821699896,0.008488384885044676,-0.0011301569158085976,0.625,8,2
DVC,0.06949279203784928,-0.10492534224298768,0.01329680879448484,0.3888888888888889,18,16
FLPL,0.2419527278917316,-0.11494915010104831,0.08027558534681324,0.5,16,7
FLPR,0.13313440890743033,-0.05957706097075127,0.05609125913553937,0.5294117647058824,17,5
HSNL,0.00363765921676462,0.01104753966765984,0.017145282485320396,0.8333333333333334,24,15
HSNR,0.0023723922935425966,0.008092712278667162,0.013506262815324114,0.6571428571428571,35,19
I1L,3.2006624188144045e-158,4.8825816109731715e-158,8.238326029492472e-158,0.5454545454545454,11,4
I1R,2.4536842209271466e-158,3.7766183525841335e-158,2.1720718931447217e-157,0.5384615384615384,13,2
I2L,1.6286202276562393e-157,1.855329225534089e-158,6.622222832975258e-158,0.7142857142857143,7,6
I2R,2.019539187786609e-157,2.58837952992755e-158,9.40774635907369e-158,0.5454545454545454,11,7
I3,1.6815687195735684e-159,1.446399132844937e-158,1.0937017843048982e-157,0.5,12,7
I4,8.907426634640228e-158,8.114738783621529e-159,1.1054970247894373e-157,0.5,8,10
I5,7.445140264743946e-158,1.48297589366098e-158,5.4401192528099096e-158,0.6153846153846154,13,10
I6,2.324604598502835e-157,-5.023450980433879e-159,-1.7806343431494314e-158,0.5,8,3
IL1DL,-0.0022865610172764558,-0.047039906903517684,0.033635044681842245,0.0,7,6
IL1DR,0.04858685397873857,-0.08679334819336257,0.002643577751442043,0.5555555555555556,9,10
IL1L,0.06389880565635207,-0.1317128809090132,-0.003930477227436216,0.5,12,9
IL1R,0.05622063721831688,-0.11908460521053979,-0.043824795953863405,0.25,12,13
IL1VL,0.03523427587878842,-0.11067723060290881,0.018229983609837904,0.4444444444444444,9,6
IL1VR,0.048186729316144344,-0.11511047272826502,0.017849238833259035,0.625,8,8
IL2DL,0.00809540359145875,-0.01102329821959325,0.008869261408444677,0.23076923076923078,13,2
IL2DR,0.007372917881212004,-0.0003309368268281895,0.028246746553868878,0.4166666666666667,12,4
IL2L,0.008435088849298642,0.021439905960820325,0.020794645285919924,0.6153846153846154,13,9
IL2R,0.003483309125411706,0.03489928530476015,0.04344802599116248,0.6666666666666666,15,6
IL2VL,0.010511189643756153,0.00856663741980714,0.08799472389673861,0.6666666666666666,12,1
IL2VR,0.011741347026054467,0.004116946088548941,0.025924597994714915,0.5714285714285714,14,5
LUAL,0.12308668638013176,-0.17810012040454698,-0.14424864299656648,0.5555555555555556,9,7
LUAR,0.10542553688924616,-0.15166463476452433,-0.21742834920945098,0.5833333333333334,12,6
M1,1.468523076298335e-158,5.184205907701136e-158,6.740682130936935e-158,0.8571428571428571,7,6
M2L,1.6868704154048994e-158,4.840373494254129e-158,4.731469200766378e-158,0.6,5,7
M2R,7.592189257705521e-159,2.631432889232981e-158,7.3357235518976e-158,0.4,5,3
M3L,-2.361803464867235e-158,-3.8304813734392235e-159,5.733417289745094e-158,0.0,1,11
M3R,-1.9546210478566645e-158,-2.2091073060551732e-158,3.023039416829093e-158,0.0,1,10
M4,-2.2091073060551732e-158,5.6753474905533985e-158,1.0040406968553498e-157,0.0,5,6
MCL,-2.2921297350216564e-159,,3.3921965101211717e-158,,0,6
MCR,-1.0615909816433711e-159,,2.0690469331565136e-158,,0,3
MI,1.7991142223847913e-158,6.867711152831013e-159,3.768152805461289e-158,0.6,10,6
NSML,-3.8304813734392235e-159,-2.231524570141052e-158,1.7592020686397202e-157,0.0,5,10
NSMR,-3.5131563374170873e-158,3.311428874239473e-158,1.4143778964504965e-157,0.0,5,10
OLLL,0.08079480063261299,-0.04797902302084105,0.038977271747781886,0.42857142857142855,14,10
OLLR,0.07557513449445541,-0.06555554651285787,0.019145204798694734,0.42857142857142855,21,19
OLQDL,0.0026736574152387855,-0.03266714784689745,0.02884240753105036,0.5,10,5
OLQDR,0.008224630708352203,-0.06638096983923968,0.01683087900799892,0.5,8,10
OLQVL,0.0026014394146717766,-0.06404672848186957,0.029003570762732606,0.42857142857142855,7,13
OLQVR,0.02666971894771102,0.0031116311164981455,0.008477919983472663,0.5555555555555556,9,13
PDA,0.0001579050636420668,0.0026860455295402304,0.002095042821699896,0.6666666666666666,6,1
PDB,-0.0010325925825924926,0.0021153347815781095,0.10542553688924616,0.0,3,1
PDEL,9.717863213583558e-05,0.03643719420354599,-0.00015632321578901566,1.0,1,1
PDER,-0.00015632321578901566,0.021900136847626952,-0.03696735835563588,0.0,3,3
PHAL,0.0023017353041564783,0.0705194232908536,0.005385836364573204,0.9090909090909091,11,2
PHAR,0.0025770958026040914,0.05897167475766467,0.003950713067175387,0.9166666666666666,12,2
PHBL,0.24152191691223932,-0.21168251827381826,0.06750983120687998,0.5454545454545454,11,5
PHBR,0.2102165242113162,-0.19964015817511596,0.04589644486869795,0.5555555555555556,9,3
PHCL,0.01883121690843926,-0.04855829112616929,0.010477726625098827,0.6666666666666666,9,2
PHCR,0.014669068526798293,0.006918752301182202,0.11140718859669975,0.7777777777777778,9,3
PLNL,0.002031844457801066,-0.00632331643239803,-0.03366199243564137,0.2857142857142857,7,7
PLNR,0.004035002389373469,-0.010054692106791593,-0.014440298324984032,0.2,5,3
PQR,0.1235003752929199,-0.14931299147575147,0.06200816529054999,0.6,15,4
PVCL,-0.11759902531429789,-0.03402974397103774,0.06358149699339598,0.0,32,32
PVCR,-0.029740243956155737,-0.0388696656539813,0.011402637111110569,0.0,34,31
PVDL,0.123960652181418,-0.13924745102146482,0.03672153855767255,0.5,12,5
PVDR,0.12345805630652226,-0.15917368155621173,0.07937833657783344,0.36363636363636365,11,4
PVM,0.0028293591363582494,0.00436739328313543,0.025527831640638106,0.6666666666666666,6,1
PVNL,0.023781456142629775,-0.007140116572439495,0.028080554594852633,0.6363636363636364,22,10
PVNR,0.014014530385458981,-0.00870155198646306,0.005885545054371451,0.5161290322580645,31,15
PVPL,0.03505563690306781,-0.05989234562341209,0.01691912048658049,0.46153846153846156,13,15
PVPR,0.03503266959200673,-0.04348036409710538,0.012735618133182636,0.5,20,17
PVQL,0.0014665806675101187,0.0002514340618965086,0.0004148509525136838,0.6363636363636364,11,9
PVQR,0.0014131832719106922,0.0008021906797953261,0.00479568354984602,0.5,16,10
PVR,0.025527831640638106,-0.015297517384860975,0.02429558306120388,0.4230769230769231,26,14
PVT,0.005230031339383662,0.0034022562833237566,0.004136325572524592,0.46153846153846156,13,17
PVWL,-0.002326932183742611,-0.02804978813757744,0.03303350380403604,0.0,5,7
PVWR,0.0016653985055092183,-0.019035717321494783,0.028658474060028107,0.75,4,6
RIAL,0.1402780601101656,-0.1068063283977445,0.035420862306987634,0.37037037037037035,27,36
RIAR,0.2441446414097297,-0.11280202502539353,0.02167500784241707,0.32,25,35
RIBL,-0.03809181080703441,-0.0017944493826480908,0.0543817177300648,0.0,17,23
RIBR,-0.05110787395940488,-0.008284172365459481,0.058489516441046115,0.0,20,21
RICL,0.0832728406285752,-0.14877168463268065,0.0147470578983955,0.45,20,17
RICR,0.07220511426693743,-0.12583098412108015,0.01813996832886312,0.4090909090909091,22,21
RID,-0.015396036750399415,0.010822756926293345,-0.023940699209723817,0.0,8,14
RIFL,0.017626904603704304,-0.017958943877742134,0.0008467577964220114,0.7142857142857143,7,10
RIFR,0.025061877316902927,-0.014587961534642894,0.0069663207693492135,0.65,20,15
RIGL,-0.008681866532952569,0.007135443377857702,0.029754906474128907,0.0,19,20
RIGR,-0.0165763088914936,0.018032826354256643,0.033763653020988965,0.0,19,15
RIH,0.08799472389673861,0.05187372704837928,0.010455945450003003,0.7931034482758621,29,24
RIML,0.024981787808531275,-0.04109274787290395,0.027758114818427493,0.375,24,25
RIMR,-0.022607016951765743,-0.04305951347369149,0.04553366222585436,0.0,21,25
RIPL,-0.031288777019872704,0.03900802972497068,0.02833018726421394,0.0,3,15
RIPR,-0.032387056315140744,0.00762473417867524,0.023181767012829337,0.0,5,17
RIR,0.013046249352954314,0.04447275997128372,0.026852061498603714,0.8461538461538461,26,21
RIS,0.06000014406087133,-0.021928778824338007,-0.013738461895713852,0.4,25,18
RIVL,-0.0007743854946995685,-0.014288403618694505,0.03248766344932846,0.0,10,13
RIVR,-0.010995322104351772,0.0019053193604263846,0.08988986801599128,0.0,13,12
RMDDL,-0.21252383909096983,-0.07544883430660504,0.05822123572928165,0.0,9,26
RMDDR,-0.19607345473048882,-0.19166400416097348,0.06182114142021067,0.0,3,21
RMDL,-0.04098300006602268,0.059394912422042395,0.04716252341831606,0.0,26,27
RMDR,-0.08345486895369653,0.05355522925428247,0.06711560294685051,0.0,13,29
RMDVL,-0.19371563788741372,-0.13824824506571526,0.07529284165849708,0.0,11,20
RMDVR,-0.16692990022182586,-0.14086155120521715,0.07083279696373337,0.0,12,22
RMED,-0.003602899439603806,-0.11615538181922949,-0.03628696622579061,0.0,4,14
RMEL,-0.006675661804546293,0.02994039217113434,0.015254824601001,0.0,4,12
RMER,-0.01067720077664177,0.03528114304017471,0.017686188363642465,0.0,2,16
