node,EdgeStdFCV,FCV_raw,big_group,OO_fraction_subunit,PostDCA_subunit,PreDCA_subunit,fine_class
AL_R,1.1017999831319116,0.2987959385054022,olfactory system,0.6086335763751182,-6.83532277234272e-06,-7.4391032836902215e-06,olfactory-associative
AME_L,-1.410966384443353,0.2702316858677095,optic/lateral protocerebrum,0.0,-0.0030145335284032836,-0.02938068659903936,primary visual
ATL_L,-0.519659204549771,0.2806423781037074,inferior/ventrolateral protocerebrum,0.0,6.977821703074901e-05,0.0001915201354327184,lateral/inferior protocerebrum
ATL_R,-0.3261889824466815,0.2829570353891683,inferior/ventrolateral protocerebrum,0.0,4.2877525437818665e-07,-1.2132232478657403e-05,lateral/inferior protocerebrum
AVLP_L,1.6328346151869837,0.3054406111753606,optic/lateral protocerebrum,0.19230665896481777,-0.00021140463658667926,-0.00985759755368899,visual-association / integrative
AVLP_R,1.0725406107417768,0.2990500798926605,optic/lateral protocerebrum,0.33137961090006085,-0.00018352544515508286,-0.0001289057017194743,visual-association / integrative
CRE_L,0.3426909346216296,0.2911996939308999,inferior/ventrolateral protocerebrum,0.14412917728979904,-4.957528799881788e-05,-0.00019737517694773613,lateral/inferior protocerebrum
CRE_R,0.4577458268980141,0.2926239310638687,inferior/ventrolateral protocerebrum,0.3764466496780944,-0.0008796577994275319,-0.00539736033942081,lateral/inferior protocerebrum
EPA_L,-1.0747947996713942,0.2746569169373436,inferior/ventrolateral protocerebrum,0.44888304862023654,0.00018864375403847242,-1.9708069311720473e-06,lateral/inferior protocerebrum
EPA_R,-0.8769280731410642,0.275700582788086,inferior/ventrolateral protocerebrum,0.0,-3.1329038752622216e-05,-0.0024499861335649537,lateral/inferior protocerebrum
IB_L,-0.4219520522595411,0.2820215609143161,inferior/ventrolateral protocerebrum,0.019554415771758295,-8.158047929513684e-05,-0.0011610141777187387,lateral/inferior protocerebrum
IB_R,-0.2840659556148829,0.2835504942638173,inferior/ventrolateral protocerebrum,0.30221671485612006,-0.00020163234317402095,-0.00019332987097924202,lateral/inferior protocerebrum
ICL_L,-0.1041283831034314,0.2856869423895558,optic/lateral protocerebrum,0.0,-9.853187689580976e-05,-0.0011704760834186734,lateral/inferior protocerebrum
ICL_R,-0.1088552069202959,0.2857544113188136,optic/lateral protocerebrum,0.37834030654079853,-6.280365269633132e-05,-5.5111100289939176e-05,lateral/inferior protocerebrum
LAL_L,0.4396997499677841,0.2920373132208777,inferior/ventrolateral protocerebrum,0.15730517310519984,-0.00019110401002446636,-0.0003080480585844427,premotor / descending
LAL_R,0.4937769585849382,0.2927968796158082,inferior/ventrolateral protocerebrum,0.15372987642742045,4.479728616289207e-06,-0.0009983546666299725,premotor / descending
LH_L,0.4949474512208578,0.2923999411866728,olfactory system,0.01286591556876705,-4.320466119141205e-05,-0.0001755368119994534,olfactory-associative
LH_R,0.4310021709390043,0.2916568500030348,olfactory system,0.33436643729363774,-7.184778377430089e-06,-7.688773419953734e-06,olfactory-associative
LO_R,-0.8641622978631384,0.2783816980026678,optic/lateral protocerebrum,0.007052375905412896,-1.9453727378286593e-06,-0.00013235072682970557,primary visual
MB_L,0.8450483728176932,0.2966792774672517,mushroom body,0.32506419662509173,-4.239834717933447e-05,-0.00011695566478961297,olfactory-associative
MB_R,1.2804103580774675,0.302939712756645,mushroom body,0.6076896568699848,-5.5795241633560115e-05,-4.3580673883047684e-05,olfactory-associative
ME_L,-1.3709621098174976,0.2711362580348314,optic/lateral protocerebrum,0.014099223025062732,-0.0014585415470378415,-8.744649783569266e-05,primary visual
ME_R,-0.7648873512860066,0.2768889332470711,optic/lateral protocerebrum,0.049941017461134864,-0.0005108028193570898,-0.002210753272433113,primary visual
NO,-0.4963849915069112,0.2812141725155782,central complex,0.09553337664127247,-2.7967703398062864e-05,-3.770734345216108e-05,other / central complex
OTU_L,-0.0506159102417531,0.2871054806064492,optic/lateral protocerebrum,0.0,-0.00047281370875392706,-0.006905169948322685,other / central complex
OTU_R,-0.0633352015278023,0.2873770471705558,optic/lateral protocerebrum,0.19203439857158475,-0.00017338611041749753,-6.530321497975605e-05,other / central complex
PB,0.645192607197683,0.2951394587200776,central complex,0.21849494091047578,-4.117127478956901e-05,-0.00011760738448069546,other / central complex
PLP_L,0.3684434293372752,0.2919119660859595,optic/lateral protocerebrum,0.10534093887689254,-0.002235153786975652,-0.017261326699222233,visual-association / integrative
PLP_R,0.2849500985973231,0.2905046812915451,optic/lateral protocerebrum,0.0,9.48433234397792e-05,9.192312500712605e-05,visual-association / integrative
PVLP_L,0.2930105331063104,0.2890950530711141,optic/lateral protocerebrum,0.08368071381282374,-0.005114833196867346,-0.02945232652530007,visual-association / integrative
PVLP_R,0.1177895177903822,0.2874181662288809,optic/lateral protocerebrum,0.0,1.6462552309847138e-05,-0.00010397338836333122,visual-association / integrative
SIP_L,0.1509388375547064,0.2888823611457756,superior protocerebrum,0.0,-7.484502089616705e-05,-0.0005858965335504799,visual-association / integrative
SIP_R,0.3441416109096904,0.2900830359489654,superior protocerebrum,0.47112410729348253,-2.0362465495965307e-05,-1.3573371149103578e-05,visual-association / integrative
SLP_R,0.6664468040176662,0.2924867575644601,superior protocerebrum,0.38761962082455614,-4.3601702734290516e-05,-2.745450370479248e-05,visual-association / integrative
SMP_L,0.4981025441101804,0.292730202205053,superior protocerebrum,0.0,-5.626716273116297e-05,-0.00021226622030171601,visual-association / integrative
SMP_R,0.5561460857546396,0.2932100609218998,superior protocerebrum,0.4005580767815528,-5.9551159573739896e-05,-7.767164230019738e-06,visual-association / integrative
SPS_L,0.3901537089516164,0.2918067739177956,superior protocerebrum,0.15179468257384746,-0.0025165789590627157,-0.005245086813565147,premotor / descending
SPS_R,0.3687415820495703,0.2909199186717803,superior protocerebrum,0.025583977986408275,-0.0004158704314405219,-0.0007056758225244375,premotor / descending
VES_L,0.5288246271017758,0.2937273897927238,inferior/ventrolateral protocerebrum,0.09492088259417071,-0.0001925543451772969,-0.0007377988308795769,premotor / descending
VES_R,0.52496811281809,0.2932264131550648,inferior/ventrolateral protocerebrum,0.17289959186934492,-8.226061547400629e-05,-9.477148885092399e-05,premotor / descending
WED_R,-0.8475651159819598,0.2791598577287774,optic/lateral protocerebrum,0.39673489419440516,-0.0002157790438721355,-0.0002864981589998807,visual-association / integrative
