node,EdgeStdFCV,FCV_raw,NetTE,NetTE_raw,n_recordings,n_rois_mean,PostDCA,PreDCA,OO_fraction,DCA,LogOutIn,n_cells,big_group
AL_R,1.1017999831319116,0.2987959385054022,0.5797275109008314,0.0017917583851590146,20,23.0,0.056154580774388875,0.14568324507683997,0.3711851594333449,-0.0004501606873249036,1.5229567847800087,2608,olfactory system
AME_L,-1.4109663844433533,0.2702316858677095,-0.03971331585740137,-0.0007179317290163311,19,1.0,0.0009690628463992255,-0.051873762785381416,0.12244518766257896,0.00938284868338836,0.06278931522201552,24,optic/lateral protocerebrum
ATL_L,-0.519659204549771,0.28064237810370746,-0.2733218448606962,-0.0021117727047938782,20,1.0,-0.025225968526103443,0.027014833296070614,0.17640359189578592,-0.006360124099418708,-0.44512203865407185,42,inferior/ventrolateral protocerebrum
ATL_R,-0.3261889824466815,0.28295703538916833,-0.23900034010822285,-0.0020502040639007973,20,1.0,-0.022857583645851446,-0.01633434169220149,0.24674230867022628,-0.007673547361276579,-0.34932080343409866,23,inferior/ventrolateral protocerebrum
AVLP_L,1.6328346151869835,0.3054406111753606,0.3317792006542977,0.002028686507216653,20,34.0,-0.005665498976547217,0.0009018143313364196,0.34735140668462433,0.0025588138708559425,0.1884407630380824,2005,optic/lateral protocerebrum
AVLP_R,1.0725406107417768,0.2990500798926605,0.004159117349128011,-0.00024905573013377016,20,28.0,-0.005106436690613591,0.00564136272315468,0.3487519979741278,0.0015292947974041781,0.1210057488712756,2172,optic/lateral protocerebrum
CRE_L,0.34269093462162964,0.2911996939308999,-0.691559114364152,-0.0025753835261803438,20,10.0,-0.0049864930875445435,-0.010358700051660105,0.2945235122547201,0.0003089837026198708,-0.10548592406005854,704,inferior/ventrolateral protocerebrum
CRE_R,0.45774582689801413,0.29262393106386875,-0.8437620101098527,-0.0024935367144621736,20,8.0,-0.02425095601054752,-0.0045961973428312024,0.23271415428978956,0.0005657400160054958,-0.1058761612485016,741,inferior/ventrolateral protocerebrum
EPA_L,-1.0747947996713942,0.2746569169373436,-0.3124092969239345,-0.002044567904823652,20,1.0,0.04462938875036893,-0.08493053570163676,0.10991735537190082,-0.03695817218683622,0.3069255775966904,11,inferior/ventrolateral protocerebrum
EPA_R,-0.8769280731410642,0.275700582788086,-0.39695279444125975,-0.0022781150662968467,20,1.0,-0.00657379717374752,-0.0036811994801928803,0.10909090909090909,0.0,0.2746754362967294,6,inferior/ventrolateral protocerebrum
IB_L,-0.4219520522595411,0.2820215609143161,0.006584430279126195,-0.0009375144074297495,20,3.0,0.028330329238535016,-0.006711058089570969,0.15092793693324766,0.006526175683855168,-0.02950383785632069,128,inferior/ventrolateral protocerebrum
IB_R,-0.28406595561488296,0.2835504942638173,-0.08195602434111886,-0.0007599654840783256,20,4.0,0.017902571758387918,-0.003054495006365537,0.19945868586028767,0.0013062811931777148,0.09874294739651615,127,inferior/ventrolateral protocerebrum
ICL_L,-0.10412838310343145,0.2856869423895558,-0.19154940095265918,-0.002359432287329747,20,8.0,0.004285002349058885,-0.008868911377059717,0.2761837283357335,0.0018436013109097025,-0.1399694055217484,566,optic/lateral protocerebrum
ICL_R,-0.10885520692029593,0.28575441131881363,-0.3778580513032752,-0.001977107536994444,20,8.0,0.002224263591846722,-0.015674451201795857,0.2650779642408256,0.0023333783589819797,-0.18639291635310784,555,optic/lateral protocerebrum
LAL_L,0.4396997499677841,0.2920373132208777,0.09801350558002955,0.0014236968833020597,20,5.0,0.015852586194945825,-0.004334679475695182,0.420132672835049,0.00444471787200784,0.30232048949159934,678,inferior/ventrolateral protocerebrum
LAL_R,0.4937769585849382,0.29279687961580825,0.19935843775001738,0.0019757303542799858,20,9.0,-0.009054463137215005,-0.0014737150766218129,0.4092528730598157,0.004686234778174885,0.1571713862616663,564,inferior/ventrolateral protocerebrum
LH_L,0.4949474512208578,0.2923999411866728,-0.32147476434782146,-0.001935531535118197,20,11.0,0.00738784211516556,-0.0059448493310113,0.1937890192518078,-0.003370112567205264,-0.19463249509698452,1973,olfactory system
LH_R,0.43100217093900434,0.2916568500030348,-0.5400036151076198,-0.0022440702043416043,20,14.0,-0.0006085538974333453,-0.0037412126841855375,0.21391143723278971,-0.0038315285602107388,-0.0905353769106835,883,olfactory system
LO_R,-0.8641622978631384,0.2783816980026678,-0.07214799977837684,-0.0003403352167912055,20,25.95,0.0041107082158664265,0.001751019029435657,0.414743417216865,0.00028372637201015357,0.5775610595212856,13874,optic/lateral protocerebrum
MB_L,0.8450483728176932,0.29667927746725176,1.8491695280100786,0.007671458902488891,20,16.0,-0.056956416710198646,0.08936745882352254,0.3863794711483893,0.0043636591433225645,-0.4104410072533796,2472,mushroom body
MB_R,1.2804103580774675,0.302939712756645,1.6859504033756,0.006914045217469857,20,16.0,-0.12521921102850772,0.07885196971920554,0.19388076201062326,0.01479737512549384,-0.5939654482888302,2148,mushroom body
ME_L,-1.3709621098174976,0.2711362580348314,-0.2287734079664039,-0.0009358804031442235,19,15.526315789473685,-0.007525464560619601,-0.06934633813583503,0.28508966025491644,0.0005390230409539235,-0.021245667922838832,36515,optic/lateral protocerebrum
ME_R,-0.7648873512860066,0.27688893324707115,-0.3460615246927115,-0.002082148635725471,19,22.263157894736842,-0.0003966732874369808,-0.004332224714713028,0.33648285666721794,2.2381801046432258e-05,-0.0404744895726129,31830,optic/lateral protocerebrum
