Subject,RegionID,node,exclusion_band_sd,OO,retained_edge_fraction
12,0,MON,0.0,0.4284907552284197,1.0
12,1,Cb,0.0,0.2720361951601293,1.0
12,2,MOS1,0.0,0.0,1.0
12,3,MOS2,0.0,0.0,1.0
12,4,MOS3,0.0,0.2869358225076327,1.0
12,5,MOS4,0.0,0.2950883524539421,1.0
12,6,MOS5,0.0,0.2723005503968249,1.0
12,7,IPN,0.0,0.0,1.0
12,8,IO,0.0,,1.0
12,9,Hc,0.0,,1.0
12,10,Ra,0.0,0.0,1.0
12,11,T,0.0,0.29207823341537964,1.0
12,12,aRF,0.0,0.0,1.0
12,13,imRF,0.0,0.0,1.0
12,14,pRF,0.0,0.0,1.0
12,15,GG,0.0,,1.0
12,16,Hb,0.0,0.7852192650398928,1.0
12,17,Hi,0.0,0.0,1.0
12,18,HR,0.0,,1.0
12,19,OG,0.0,,1.0
12,20,OB,0.0,0.0,1.0
12,21,OE,0.0,1.0,1.0
12,22,P,0.0,0.657549714572486,1.0
12,23,Pi,0.0,,1.0
12,24,PT,0.0,0.503537323470074,1.0
12,25,PO,0.0,0.5205579663158595,1.0
12,26,PrT,0.0,0.0,1.0
12,27,R,0.0,,1.0
12,28,SP,0.0,0.6148472811943569,1.0
12,29,TeO,0.0,0.2026496302639649,1.0
12,30,Th,0.0,0.0,1.0
12,31,TL,0.0,0.0,1.0
12,32,TS,0.0,0.4603836530442035,1.0
12,33,TG,0.0,,1.0
12,34,VR,0.0,0.6372898624554254,1.0
12,35,NX,0.0,0.0,1.0
12,36,rMON,0.0,0.4270286218622905,1.0
12,37,rCb,0.0,0.34938949911433426,1.0
12,38,rMOS1,0.0,0.20551918592559737,1.0
12,39,rMOS2,0.0,0.0,1.0
12,40,rMOS3,0.0,0.2166919059935584,1.0
12,41,rMOS4,0.0,0.2655427587838075,1.0
12,42,rMOS5,0.0,0.19248652305174063,1.0
12,43,rIPN,0.0,,1.0
12,44,rIO,0.0,,1.0
12,45,rHc,0.0,,1.0
12,46,rRa,0.0,0.0,1.0
