Subject,RegionID,node,threshold_type,threshold_value,measure,value
12,0,MON,dca_sd,-0.5,OO,0.8317126517839434
12,1,Cb,dca_sd,-0.5,OO,0.48976274101522305
12,2,MOS1,dca_sd,-0.5,OO,0.17510172106528563
12,3,MOS2,dca_sd,-0.5,OO,0.0
12,4,MOS3,dca_sd,-0.5,OO,0.41038781811782776
12,5,MOS4,dca_sd,-0.5,OO,0.5366816508012968
12,6,MOS5,dca_sd,-0.5,OO,0.7307819672716395
12,7,IPN,dca_sd,-0.5,OO,1.0
12,8,IO,dca_sd,-0.5,OO,
12,9,Hc,dca_sd,-0.5,OO,
12,10,Ra,dca_sd,-0.5,OO,0.0
12,11,T,dca_sd,-0.5,OO,0.41937462709115075
12,12,aRF,dca_sd,-0.5,OO,0.0
12,13,imRF,dca_sd,-0.5,OO,0.0
12,14,pRF,dca_sd,-0.5,OO,0.0
12,15,GG,dca_sd,-0.5,OO,
12,16,Hb,dca_sd,-0.5,OO,0.8627336788771767
12,17,Hi,dca_sd,-0.5,OO,1.0
12,18,HR,dca_sd,-0.5,OO,
12,19,OG,dca_sd,-0.5,OO,
12,20,OB,dca_sd,-0.5,OO,1.0
12,21,OE,dca_sd,-0.5,OO,1.0
12,22,P,dca_sd,-0.5,OO,0.757072956527194
12,23,Pi,dca_sd,-0.5,OO,
12,24,PT,dca_sd,-0.5,OO,0.6150011208249272
12,25,PO,dca_sd,-0.5,OO,0.6078274893178379
12,26,PrT,dca_sd,-0.5,OO,0.0
12,27,R,dca_sd,-0.5,OO,
12,28,SP,dca_sd,-0.5,OO,0.6994323456451932
12,29,TeO,dca_sd,-0.5,OO,0.40692806637890133
12,30,Th,dca_sd,-0.5,OO,0.649168334083782
12,31,TL,dca_sd,-0.5,OO,0.7723577235772358
12,32,TS,dca_sd,-0.5,OO,0.6249652488184598
12,33,TG,dca_sd,-0.5,OO,
12,34,VR,dca_sd,-0.5,OO,0.9001528273051452
12,35,NX,dca_sd,-0.5,OO,0.0
12,36,rMON,dca_sd,-0.5,OO,0.6787295789765516
12,37,rCb,dca_sd,-0.5,OO,0.571756953490154
12,38,rMOS1,dca_sd,-0.5,OO,0.2779433173642335
12,39,rMOS2,dca_sd,-0.5,OO,0.0
12,40,rMOS3,dca_sd,-0.5,OO,0.32636459882871655
12,41,rMOS4,dca_sd,-0.5,OO,0.5010632121795793
12,42,rMOS5,dca_sd,-0.5,OO,0.6254807230575865
12,43,rIPN,dca_sd,-0.5,OO,
12,44,rIO,dca_sd,-0.5,OO,
12,45,rHc,dca_sd,-0.5,OO,
12,46,rRa,dca_sd,-0.5,OO,0.0
12,47,rT,dca_sd,-0.5,OO,0.10975769608266275
12,48,raRF,dca_sd,-0.5,OO,0.0
12,49,rimRF,dca_sd,-0.5,OO,0.0
12,50,rpRF,dca_sd,-0.5,OO,0.0
