Subject,RegionID,node,temperature_sd,soft_OO
12,0,MON,0.025,0.4664142234003801
12,1,Cb,0.025,0.3071262429661084
12,2,MOS1,0.025,0.03238922828604901
12,3,MOS2,0.025,2.1566094479341504e-18
12,4,MOS3,0.025,0.3014802253649912
12,5,MOS4,0.025,0.3159911277761449
12,6,MOS5,0.025,0.3270594630051886
12,7,IPN,0.025,0.10623801036147601
12,8,IO,0.025,
12,9,Hc,0.025,
12,10,Ra,0.025,2.2036398324531202e-13
12,11,T,0.025,0.3112057580953433
12,12,aRF,0.025,8.911359230767444e-16
12,13,imRF,0.025,1.3865370544951332e-18
12,14,pRF,0.025,9.619425282555311e-13
12,15,GG,0.025,
12,16,Hb,0.025,0.6634300120050655
12,17,Hi,0.025,0.2018269521651323
12,18,HR,0.025,
12,19,OG,0.025,
12,20,OB,0.025,0.3706178424430617
12,21,OE,0.025,0.4998944668723893
12,22,P,0.025,0.542577267813387
12,23,Pi,0.025,
12,24,PT,0.025,0.5122067169175037
12,25,PO,0.025,0.5157869159407432
12,26,PrT,0.025,6.98989242788804e-13
12,27,R,0.025,
12,28,SP,0.025,0.5129166206819596
12,29,TeO,0.025,0.2101490966234218
12,30,Th,0.025,0.04442680225561573
12,31,TL,0.025,0.3218231134648873
12,32,TS,0.025,0.32031469146263863
12,33,TG,0.025,
12,34,VR,0.025,0.3885184742061108
12,35,NX,0.025,2.396362508025303e-18
12,36,rMON,0.025,0.442116978471013
12,37,rCb,0.025,0.3616324941865164
12,38,rMOS1,0.025,0.21272128441218113
12,39,rMOS2,0.025,2.497795808946629e-18
12,40,rMOS3,0.025,0.22543983040008733
12,41,rMOS4,0.025,0.2775046038289365
12,42,rMOS5,0.025,0.2562485407516499
12,43,rIPN,0.025,
12,44,rIO,0.025,
12,45,rHc,0.025,
12,46,rRa,0.025,2.14212648069616e-11
12,47,rT,0.025,0.08026750415721566
12,48,raRF,0.025,6.874455568808666e-17
12,49,rimRF,0.025,4.209477651641265e-11
12,50,rpRF,0.025,1.7792218381094745e-18
12,51,rGG,0.025,
12,52,rHb,0.025,0.38559592000693405
12,53,rHi,0.025,0.09137049335966774
12,54,rHR,0.025,
12,55,rOG,0.025,
12,56,rOB,0.025,
12,57,rOE,0.025,
12,58,rP,0.025,0.5614585002869619
12,59,rPi,0.025,
12,60,rPT,0.025,0.00046704518314167996
12,61,rPO,0.025,0.5256575669609768
12,62,rPrT,0.025,0.10981861042427453
12,63,rR,0.025,
12,64,rSP,0.025,0.4152796708457115
12,65,rTeO,0.025,0.17022985175476463
12,66,rTh,0.025,0.4410862959741345
12,67,rTL,0.025,0.2154806128052544
12,68,rTS,0.025,
12,69,rTG,0.025,
12,70,rVR,0.025,0.40260666419692703
12,71,rNX,0.025,2.9374564614748946e-18
12,0,MON,0.05,0.4731138486073937
12,1,Cb,0.05,0.3147301165993403
12,2,MOS1,0.05,0.05277031154199034
12,3,MOS2,0.05,2.2083511615699656e-18
12,4,MOS3,0.05,0.3075817576195164
12,5,MOS4,0.05,0.3238640009330892
12,6,MOS5,0.05,0.3382452631656207
12,7,IPN,0.05,0.12326500992850259
12,8,IO,0.05,
12,9,Hc,0.05,
12,10,Ra,0.05,3.4369022419783666e-07
12,11,T,0.05,0.31250333698736554
12,12,aRF,0.05,1.71978838567136e-08
12,13,imRF,0.05,5.954370123844892e-13
12,14,pRF,0.05,6.027004296914605e-07
12,15,GG,0.05,
12,16,Hb,0.05,0.5161184625935088
12,17,Hi,0.05,0.22531137224055128
12,18,HR,0.05,
12,19,OG,0.05,
12,20,OB,0.05,0.36927404490610577
12,21,OE,0.05,0.49282638322033845
12,22,P,0.05,0.47801276460803194
12,23,Pi,0.05,
12,24,PT,0.05,0.5163051512111257
12,25,PO,0.05,0.5046100538120009
12,26,PrT,0.05,6.023049013140382e-07
12,27,R,0.05,
12,28,SP,0.05,0.46542878831102663
12,29,TeO,0.05,0.20881590653529655
12,30,Th,0.05,0.09203372614525288
12,31,TL,0.05,0.33666978039060746
12,32,TS,0.05,0.29023986820217396
12,33,TG,0.05,
12,34,VR,0.05,0.37568408679052884
12,35,NX,0.05,6.248699759782466e-17
12,36,rMON,0.05,0.44658462759177
12,37,rCb,0.05,0.370170868624486
