target_size,endpoint_radius,endpoint_squared_threshold,metric,n_regions,pearson_r,pearson_p,spearman_rho,spearman_p
250,10.0,100.0,DCApost,42,0.22158167721414485,0.1584578455953625,0.15339113524025608,0.3321244985334638
250,10.0,100.0,OO_fraction,42,0.5170956353453108,0.00045417373317331724,0.3613745083535424,0.018704048643105133
250,11.0,121.0,DCApost,42,0.23270790094212654,0.13806044745620485,0.17024552305323717,0.2810723759228114
250,11.0,121.0,OO_fraction,42,0.3626709246399704,0.018253431069924966,0.2634565715758013,0.09183514674480725
250,12.0,144.0,DCApost,42,0.24929326318113806,0.11136231736984889,0.17364881290008916,0.27142273250065546
250,12.0,144.0,OO_fraction,42,0.3946615158061133,0.00969714406283656,0.2785343938259857,0.074072103220444
250,13.0,169.0,DCApost,42,0.25373271073424125,0.104929835045047,0.18823434081516896,0.2325599633376457
250,13.0,169.0,OO_fraction,42,0.3556483441927435,0.020807940761792768,0.25648510537410324,0.10108670789807869
250,13.86,192.09959999999998,DCApost,42,0.2783730064342794,0.07424675000757597,0.21740539664532857,0.16665418910613203
250,13.86,192.09959999999998,OO_fraction,42,0.3885160967953238,0.011001605092195152,0.267185495358105,0.08716290181684469
250,15.0,225.0,DCApost,42,0.29623609622512853,0.05679383489455361,0.24690057531804552,0.11495104988303047
250,15.0,225.0,OO_fraction,42,0.43950286355566637,0.003589511462368001,0.3120998501165041,0.04420192375939712
300,10.0,100.0,DCApost,42,0.1993114948744259,0.205711302766076,0.12065472814196583,0.44658461494421897
300,10.0,100.0,OO_fraction,42,0.5237201496629325,0.000371810669090353,0.37321663247230447,0.014916118576163198
300,11.0,121.0,DCApost,42,0.21443474020472258,0.17266807518521313,0.14123652864435624,0.37229742648031017
300,11.0,121.0,OO_fraction,42,0.34479621032274693,0.025340827420261666,0.23590957396572015,0.13256866264428127
300,12.0,144.0,DCApost,42,0.23277738425441244,0.13793950113789422,0.1579288550360587,0.31784563584653125
300,12.0,144.0,OO_fraction,42,0.31567436709404184,0.041703759735582734,0.2205012484059103,0.16054956380509228
300,13.0,169.0,DCApost,42,0.2428795438538721,0.12117822890437553,0.18547929665343166,0.23959275773056868
300,13.0,169.0,OO_fraction,42,0.34413321800948105,0.025642495926670117,0.2514800924261596,0.10815732603039183
300,13.86,192.09959999999998,DCApost,42,0.2703931283164321,0.08329332720502655,0.20768171136860872,0.18691648554633616
300,13.86,192.09959999999998,OO_fraction,42,0.32352077810799823,0.036622014864503144,0.244019218997199,0.1193880591947602
300,15.0,225.0,DCApost,42,0.29216296548718607,0.06045142383219954,0.2538692164330281,0.104736643025689
300,15.0,225.0,OO_fraction,42,0.4067126176811098,0.007520021089443187,0.30082687295932276,0.0528860111012047
400,10.0,100.0,DCApost,42,0.22808290423334848,0.14628889584131557,0.1888825865002836,0.2309258821785353
400,10.0,100.0,OO_fraction,42,0.5412078342849664,0.00021485921833073709,0.3633931938605679,0.018006368923358725
400,11.0,121.0,DCApost,42,0.2382778964939271,0.12861223244162925,0.20816789563244473,0.18586361021851874
400,11.0,121.0,OO_fraction,42,0.3908413169940766,0.01049141792169554,0.27856630683129896,0.07403760655703394
400,12.0,144.0,DCApost,42,0.2544842912841016,0.10386951550877974,0.21302973827080465,0.17556613753399233
400,12.0,144.0,OO_fraction,42,0.4003253609504151,0.008614619561931212,0.28278332224766795,0.06958917056252124
400,13.0,169.0,DCApost,42,0.25892112343011586,0.09777613584322954,0.23377360019447374,0.13621406160271815
400,13.0,169.0,OO_fraction,42,0.4230340036708266,0.005251057784074743,0.3147353236716947,0.04234862825226571
400,13.86,192.09959999999998,DCApost,42,0.28727137028418925,0.065089500940621,0.27088566566728794,0.08271119284141687
400,13.86,192.09959999999998,OO_fraction,42,0.4245747402509311,0.005071425901588457,0.31392435916854683,0.0429120479813208
400,15.0,225.0,DCApost,42,0.30996577667829855,0.04575040218469973,0.28595737784620373,0.06638230901381578
400,15.0,225.0,OO_fraction,42,0.4047962296476727,0.007835079287068612,0.2825065082897439,0.06987454559761651
500,10.0,100.0,DCApost,42,0.27389254446518413,0.07922582878084203,0.2593793047565027,0.0971628824008816
500,10.0,100.0,OO_fraction,42,0.5315539614518783,0.000291899674585071,0.37377353950086084,0.014755305951841095
500,11.0,121.0,DCApost,42,0.2981163249087572,0.055166276990894075,0.28774005348026904,0.06463323691312495
500,11.0,121.0,OO_fraction,42,0.3246143409186338,0.03595588643441313,0.21952809100213286,0.162450720532816
500,12.0,144.0,DCApost,42,0.30912522717923696,0.046372241644102974,0.31626286362531403,0.04130371335640959
500,12.0,144.0,OO_fraction,42,0.3612318421464338,0.018754204293082218,0.24937158471797508,0.11124629949228568
500,13.0,169.0,DCApost,42,0.3172271467973977,0.040654977158669274,0.32485211895308325,0.03581237046019616
500,13.0,169.0,OO_fraction,42,0.3366434270921259,0.029262827192081696,0.25861658005386096,0.09818539517762989
500,13.86,192.09959999999998,DCApost,42,0.3413980733892277,0.02691878037780799,0.3551576047321935,0.020997125316122286
