realization,null_type,max_relative_margin_error,metric,n_regions,pearson_r,pearson_p,spearman_rho,spearman_p
0,strength_preserving,8.051854437408171e-16,DCApost,41,0.0558316419346077,0.7288078064679193,-0.02630662020905924,0.8703109878897114
0,strength_preserving,8.051854437408171e-16,OO_fraction,41,0.36287808180058445,0.01971092510952946,0.27755993920286615,0.0789187768994754
0,root_pair_preserving,7.328133927748998e-16,DCApost,41,0.10203624205343778,0.5255550470160156,0.021951219512195128,0.8916426817338191
0,root_pair_preserving,7.328133927748998e-16,OO_fraction,41,0.5482519263795467,0.00020656711661256702,0.4216122404594872,0.006043059394310075
1,strength_preserving,7.195369476051647e-16,DCApost,41,-0.0262972742906558,0.8703566704695705,0.01358885017421603,0.932798788842143
1,strength_preserving,7.195369476051647e-16,OO_fraction,41,0.26412784548249363,0.09517233850728984,0.16617268739143584,0.2991023724424338
1,root_pair_preserving,6.669683393696421e-16,DCApost,41,0.17391888419543106,0.27681631028781234,0.10714285714285716,0.5049279467645615
1,root_pair_preserving,6.669683393696421e-16,OO_fraction,41,0.4745061277051027,0.0017218928049559015,0.3384749776652849,0.030417152155852886
2,strength_preserving,6.41539634805529e-16,DCApost,41,0.07436917418143521,0.6440028596918759,-0.003135888501742161,0.9844753074670255
2,strength_preserving,6.41539634805529e-16,OO_fraction,41,0.363691915122232,0.019417117147257267,0.26884534142569616,0.08919390758317075
2,root_pair_preserving,1.0049665212960534e-15,DCApost,41,0.13415820592519853,0.4030110085943313,0.0407665505226481,0.8002173067941821
2,root_pair_preserving,1.0049665212960534e-15,OO_fraction,41,0.5344694561927401,0.0003187403792400674,0.41307775071386305,0.007269519839511979
3,strength_preserving,5.596513784021019e-16,DCApost,41,-0.24897488416323102,0.11647357396340405,-0.1383275261324042,0.38841574025826875
3,strength_preserving,5.596513784021019e-16,OO_fraction,41,0.34789334801352173,0.02582383492517265,0.2610022034262431,0.09930017652647774
3,root_pair_preserving,8.794671795013811e-16,DCApost,41,0.14214953621106033,0.37531213319176693,0.03623693379790941,0.8220354691493817
3,root_pair_preserving,8.794671795013811e-16,OO_fraction,41,0.4992604281186082,0.000890614807260086,0.34657606380812217,0.02642928608903458
4,strength_preserving,9.86864910777917e-16,DCApost,41,0.026890593123475026,0.8674573757612767,0.14843205574912893,0.35435182053108694
4,strength_preserving,9.86864910777917e-16,OO_fraction,41,0.3116382240549241,0.047317189007767504,0.22657954220642137,0.1542863041725615
4,root_pair_preserving,6.098533985960628e-16,DCApost,41,0.111322288065828,0.48835661257505636,0.024564459930313594,0.8788336476036955
4,root_pair_preserving,6.098533985960628e-16,OO_fraction,41,0.5190330700276535,0.0005070374406074189,0.3696601230533515,0.01737280229879128
5,strength_preserving,6.763299511232037e-16,DCApost,41,-0.08306604233019776,0.6056257957688214,-0.025783972125435543,0.8728663110864799
5,strength_preserving,6.763299511232037e-16,OO_fraction,41,0.278588890359362,0.07776934404843584,0.21394951461625575,0.17920955656737714
5,root_pair_preserving,9.056908004112012e-16,DCApost,41,0.08282371626397603,0.6066816938268013,0.01428571428571429,0.9293610278368879
5,root_pair_preserving,9.056908004112012e-16,OO_fraction,41,0.476803751665911,0.0016230040733438505,0.3942484034391732,0.010753929974387974
6,strength_preserving,8.764524446110901e-16,DCApost,41,-0.22633134113865036,0.15475031588896038,-0.24494773519163768,0.12269802598896586
6,strength_preserving,8.764524446110901e-16,OO_fraction,41,0.2629621878004145,0.09669602087073685,0.16148149681096108,0.3131429685875791
6,root_pair_preserving,7.144031171876113e-16,DCApost,41,0.11275452572038173,0.4827434003124387,0.030662020905923352,0.849069592172181
6,root_pair_preserving,7.144031171876113e-16,OO_fraction,41,0.37281845835227645,0.01636643279227571,0.20148150060817166,0.20651166197169574
7,strength_preserving,6.463855028091571e-16,DCApost,41,-0.06807093398763642,0.6723839590133023,-0.01707317073170732,0.9156232594099637
7,strength_preserving,6.463855028091571e-16,OO_fraction,41,0.26986371160869904,0.08794234105910877,0.1794737786437234,0.26152236274041013
7,root_pair_preserving,6.427027605360385e-16,DCApost,41,0.07517710181167309,0.6403969568930555,0.009407665505226483,0.9534485067767938
7,root_pair_preserving,6.427027605360385e-16,OO_fraction,41,0.47698283825716603,0.0016155114989770765,0.32205766381110384,0.04002683727707724
8,strength_preserving,1.1814427896075478e-15,DCApost,41,0.04601402892187445,0.7751284260128193,0.0980836236933798,0.5418000793619503
8,strength_preserving,1.1814427896075478e-15,OO_fraction,41,0.3463237155151694,0.026546604832123046,0.25352849313263837,0.10972589450295926
8,root_pair_preserving,9.109522253334617e-16,DCApost,41,0.18687576597609612,0.24203114213908936,0.09250871080139374,0.5651140110074844
8,root_pair_preserving,9.109522253334617e-16,OO_fraction,41,0.5765573915388343,7.968686076160737e-05,0.42387803588155143,0.005749234057854186
9,strength_preserving,7.011619556888721e-16,DCApost,41,-0.2819581933295996,0.07409698974760623,-0.23240418118466905,0.1436868413006476
9,strength_preserving,7.011619556888721e-16,OO_fraction,41,0.3020029139028957,0.05497977693333194,0.21237474782963423,0.182507794354629
9,root_pair_preserving,7.424067766117469e-16,DCApost,41,0.07671567993391229,0.6335526208161486,-0.014111498257839724,0.9302203517686983
9,root_pair_preserving,7.424067766117469e-16,OO_fraction,41,0.5065512667484988,0.0007264289533510639,0.38727128929315735,0.012365766234315267
10,strength_preserving,8.573350497295602e-16,DCApost,41,-0.17949972384135685,0.2614522735545407,-0.2766550522648084,0.07994055344809488
10,strength_preserving,8.573350497295602e-16,OO_fraction,41,0.286791267976222,0.06906858899114454,0.20174375583619228,0.20590909052019576
10,root_pair_preserving,7.645623510937241e-16,DCApost,41,0.07151107029222326,0.6568232957217756,-0.01846689895470384,0.9087631969911985
10,root_pair_preserving,7.645623510937241e-16,OO_fraction,41,0.5267166005210199,0.0004035477546405771,0.3717647411740745,0.01669657205683127
11,strength_preserving,5.730183352904034e-16,DCApost,41,-0.2940588458480771,0.06201859272404586,-0.33344947735191643,0.033131669803867926
