node,RegionID
MON,0
Cb,1
MOS1,2
MOS2,3
MOS3,4
MOS4,5
MOS5,6
IPN,7
IO,8
Hc,9
Ra,10
T,11
aRF,12
imRF,13
pRF,14
GG,15
Hb,16
Hi,17
HR,18
OG,19
OB,20
OE,21
P,22
Pi,23
PT,24
PO,25
PrT,26
R,27
SP,28
TeO,29
Th,30
TL,31
TS,32
TG,33
VR,34
NX,35
rMON,36
rCb,37
rMOS1,38
rMOS2,39
rMOS3,40
rMOS4,41
rMOS5,42
rIPN,43
rIO,44
rHc,45
rRa,46
rT,47
raRF,48
rimRF,49
rpRF,50
rGG,51
rHb,52
rHi,53
rHR,54
rOG,55
rOB,56
rOE,57
rP,58
rPi,59
rPT,60
rPO,61
rPrT,62
rR,63
rSP,64
rTeO,65
rTh,66
rTL,67
rTS,68
rTG,69
rVR,70
rNX,71
