epsilon,run,layer,fc_state_mean,fc_state_std,fc_state_width_p95_p05,fcv_from_fc_state
0.0,0,Layer 1,0.6580290788927553,0.3215967202726918,0.9136665167903774,0.32064383900703425
0.0,0,Layer 4,0.7824729993333388,0.24023127119352516,0.714047280578667,0.2395194732698669
0.0,1,Layer 1,0.7576448226790057,0.30008554618003974,0.8733480005902321,0.29919640186660534
0.0,1,Layer 4,0.9073813360413152,0.10869019720685905,0.30334202374704666,0.1083681514702258
0.0,2,Layer 1,0.937744188338605,0.07034230104906543,0.20119503753933143,0.07013387895820558
0.0,2,Layer 4,0.9517170434722619,0.06175508738138509,0.18146602486418262,0.06157210894250401
0.0,3,Layer 1,0.7076687237208451,0.3248946855235185,0.9277032384134953,0.3239320324874908
0.0,3,Layer 4,0.8758046810543408,0.13673175783679575,0.4082501493408274,0.13632662581196464
0.0,4,Layer 1,0.4328734297196157,0.4448934195191655,1.2726500825277705,0.4435752138971843
0.0,4,Layer 4,0.47707050711449617,0.4343437639066024,1.1669766261134502,0.43305681659218054
0.0,5,Layer 1,0.9237418528046615,0.1016071529356082,0.29734861053977013,0.10130609404294581
0.0,5,Layer 4,0.9596422482109462,0.05277335867155942,0.14590005776705206,0.05261699282068469
0.0,6,Layer 1,0.775827280409321,0.22585516232658234,0.597219290076852,0.22518596037467628
0.0,6,Layer 4,0.8028919615811902,0.2295865680156372,0.6501021908360761,0.228906310022573
0.0,7,Layer 1,0.8273777524413498,0.180274649761395,0.5087502785184048,0.179740501476907
0.0,7,Layer 4,0.8124526578215961,0.19000230666395962,0.5085607966852074,0.18943933562899917
0.0,8,Layer 1,0.8572506310580928,0.20058038184261184,0.5656952592712697,0.19998606829378518
0.0,8,Layer 4,0.8994255794594055,0.1456503056245719,0.4343354689914103,0.14521874821487796
0.0,9,Layer 1,-0.1548370325986741,0.2971416046330524,0.9067994275314948,0.2962611831285601
0.0,9,Layer 4,0.44637295511907676,0.16375617156675726,0.5205180808901817,0.16327096702894517
0.0,10,Layer 1,0.8257367403820587,0.19622570561134478,0.5386182284599026,0.19564429483526796
0.0,10,Layer 4,0.9328253188985349,0.07131592495000688,0.20730183004794978,0.07110461804124775
0.0,11,Layer 1,0.478029204412586,0.3521995700534595,1.028463474992572,0.35115601347803155
0.0,11,Layer 4,0.5848493428740267,0.2959301716255353,0.8606110518223675,0.2950533395600662
0.0,12,Layer 1,0.8741893910520475,0.1348983321479479,0.36415441127652626,0.13449863250746882
0.0,12,Layer 4,0.9117361371639149,0.10097052227737989,0.28799879932028305,0.10067134970192512
0.0,13,Layer 1,0.845855487902646,0.18855571015928643,0.5345681368309317,0.18799702534561297
0.0,13,Layer 4,0.833289727156448,0.22479814224192887,0.6484262407914401,0.22413207220826886
0.0,14,Layer 1,0.8248065870421621,0.18892551627093387,0.5804824759545331,0.1883657357330396
0.0,14,Layer 4,0.8658916063951084,0.1690962161046766,0.4612685373804878,0.16859518917789976
0.0,15,Layer 1,0.8160011621593785,0.22587933094865545,0.6959213742832262,0.22521005738585995
0.0,15,Layer 4,0.908895772736308,0.10767018466105731,0.32263806540479556,0.10735116119046215
0.0,16,Layer 1,0.33552372991708496,0.44353648166066456,1.2767118604848555,0.44222229660413853
0.0,16,Layer 4,0.5371046333798263,0.26260608928975393,0.8004267909585838,0.2618279954630518
0.0,17,Layer 1,0.9108068905670531,0.12473404930133468,0.36361679678642134,0.12436446612067266
0.0,17,Layer 4,0.9450320875163647,0.08150730224832223,0.24051854840508224,0.08126579859971267
0.0,18,Layer 1,0.557933414745187,0.39236343209189334,1.1718185087495312,0.3912008712192188
0.0,18,Layer 4,0.6044428740314495,0.2947221645372774,0.892212082001981,0.29384891175993705
0.0,19,Layer 1,0.7184033510779346,0.2936544575737902,0.8744398653536447,0.2927843683795919
0.0,19,Layer 4,0.8215634953099049,0.1883337800856337,0.5105830552632302,0.18777575284399417
0.0,20,Layer 1,0.8884901924270848,0.14082930427409127,0.3770386043262465,0.14041203134424113
0.0,20,Layer 4,0.9518131152813919,0.05743772173377898,0.16228712397739786,0.05726753551752725
0.0,21,Layer 1,0.8375926608752595,0.16590913802762225,0.4580310046581135,0.1654175543159045
0.0,21,Layer 4,0.7198063133087705,0.3375593705843358,0.990066726401685,0.3365591924730533
0.0,22,Layer 1,0.4969569072698681,0.44701642546173004,1.2602878101373391,0.4456919294379443
0.0,22,Layer 4,0.6580236195551551,0.3203535862024446,0.8823812893045948,0.31940438830509127
0.0,23,Layer 1,0.09061590867432281,0.25385212188147055,0.7809944220918136,0.25309996579299054
0.0,23,Layer 4,0.23128197449637586,0.25659788625913477,0.8155678377983255,0.2558375945546163
0.0,24,Layer 1,0.9256591300830112,0.10107955420762166,0.29881681643477476,0.10078005857388572
0.0,24,Layer 4,0.9390026830310513,0.09159745041222837,0.26727952806190136,0.09132604996260375
0.0,25,Layer 1,0.8434270727474703,0.18121492453061722,0.5085082179143964,0.1806779902406892
0.0,25,Layer 4,0.7836160071302835,0.2746302037115114,0.7855434459670994,0.27381648280080517
0.0,26,Layer 1,0.8368343234557833,0.20560716296997622,0.5843514354285786,0.20499795522210806
0.0,26,Layer 4,0.8731198608039353,0.17619120339031896,0.5173241136562245,0.17566915423278415
0.0,27,Layer 1,0.7671016625123319,0.24858602472000801,0.682449106058737,0.24784947191667364
0.0,27,Layer 4,0.8239899015471776,0.16353247306316526,0.49001837792622904,0.16304793133719112
0.0,28,Layer 1,0.8494219143477836,0.16102273622632857,0.4440445432638609,0.16054563077399406
0.0,28,Layer 4,0.8679748248264231,0.1595306215180171,0.4094065401831629,0.1590579371560176
0.0,29,Layer 1,0.1350751925985044,0.49776947100654695,1.3859447181835698,0.49629459525801245
0.0,29,Layer 4,0.5705117322929274,0.27077062931372525,0.7778398984821318,0.26996834420414884
0.0,30,Layer 1,0.9151429537919268,0.12137939847541881,0.34574029258230554,0.12101975502275562
0.0,30,Layer 4,0.9661890936614647,0.04407780810629765,0.1269123640523694,0.04394720690632231
0.0,31,Layer 1,0.8610385715058056,0.15444042572164723,0.4143043750154032,0.15398282345441777
0.0,31,Layer 4,0.9267891776234364,0.08631555427023867,0.25568040527238156,0.08605980391765664
0.0,32,Layer 1,0.92725886996577,0.09575350079991617,0.31069240235182116,0.0954697860998533
0.0,32,Layer 4,0.9595408975446054,0.0525969270319181,0.15535629015537833,0.05244108394260618
0.0,33,Layer 1,0.722343369734674,0.3252248309945635,0.9236134603050196,0.3242611997475824
0.0,33,Layer 4,0.8880175428889194,0.12300132340693405,0.35466244378522915,0.1226368742402069
0.0,34,Layer 1,0.8764314798972758,0.13906669983896383,0.401952078421836,0.13865464945225273
0.0,34,Layer 4,0.9330236221972841,0.07626736639475362,0.1982058718802293,0.07604138851613289
0.0,35,Layer 1,0.7716934292839253,0.2975190787228244,0.8339984592385306,0.29663753877412613
0.0,35,Layer 4,0.8946669312052264,0.12966017100428004,0.39026668651795926,0.1292759918753785
0.0,36,Layer 1,0.8427159119391134,0.21212381569503685,0.6159332942213724,0.21149529930406047
0.0,36,Layer 4,0.9315858553836335,0.08916892990307788,0.26587301249912965,0.08890472508559298
0.0,37,Layer 1,0.8926302126130466,0.1327772053616536,0.3890560353757372,0.13238379055509644
0.0,37,Layer 4,0.8438373971014923,0.22570230018651305,0.6986193703066689,0.22503355116046206
0.0,38,Layer 1,0.20430651632504218,0.3145448188754092,1.0195873680965382,0.31361283217833735
0.0,38,Layer 4,0.6620565493427057,0.15691369770249416,0.46726900443189234,0.1564487672058803
0.0,39,Layer 1,0.30461236276366466,0.28448827537203275,0.8935995415703986,0.28364534529590696
0.0,39,Layer 4,-0.04448435169486619,0.3711918995359332,1.155417419810607,0.37009206926797605
