node,cell_class
ADAL,Interneuron
ADAR,Interneuron
ADEL,Sensory
ADER,Sensory
ADFL,Sensory
ADFR,Sensory
ADLL,Sensory
ADLR,Sensory
AFDL,Sensory
AFDR,Sensory
AIAL,Interneuron
AIAR,Interneuron
AIBL,Interneuron
AIBR,Interneuron
AIML,Interneuron
AIMR,Interneuron
AINL,Interneuron
AINR,Interneuron
AIYL,Interneuron
AIYR,Interneuron
AIZL,Interneuron
AIZR,Interneuron
ALA,Interneuron
ALML,Sensory
ALMR,Sensory
ALNL,Sensory
ALNR,Sensory
AQR,Sensory
AS1,Motorneuron
AS10,Motorneuron
AS11,Motorneuron
AS2,Motorneuron
AS3,Motorneuron
AS4,Motorneuron
AS5,Motorneuron
AS6,Motorneuron
AS7,Motorneuron
AS8,Motorneuron
AS9,Motorneuron
ASEL,Sensory
ASER,Sensory
ASGL,Sensory
ASGR,Sensory
ASHL,Sensory
ASHR,Sensory
ASIL,Sensory
ASIR,Sensory
ASJL,Sensory
ASJR,Sensory
ASKL,Sensory
ASKR,Sensory
AUAL,Interneuron
AUAR,Interneuron
AVAL,Interneuron
AVAR,Interneuron
AVBL,Interneuron
AVBR,Interneuron
AVDL,Interneuron
AVDR,Interneuron
AVEL,Interneuron
AVER,Interneuron
AVFL,Interneuron
AVFR,Interneuron
AVG,Interneuron
AVHL,Interneuron
AVHR,Interneuron
AVJL,Interneuron
AVJR,Interneuron
AVKL,Interneuron
AVKR,Interneuron
AVL,Interneuron
AVM,Sensory
AWAL,Sensory
AWAR,Sensory
AWBL,Sensory
AWBR,Sensory
AWCL,Sensory
AWCR,Sensory
BAGL,Sensory
BAGR,Sensory
BDUL,Interneuron
BDUR,Interneuron
CEPDL,Sensory
CEPDR,Sensory
CEPVL,Sensory
CEPVR,Sensory
DA1,Motorneuron
DA2,Motorneuron
DA3,Motorneuron
DA4,Motorneuron
DA5,Motorneuron
DA6,Motorneuron
DA7,Motorneuron
DA8,Motorneuron
DA9,Motorneuron
DB1,Motorneuron
DB2,Motorneuron
DB3,Motorneuron
DB4,Motorneuron
DB5,Motorneuron
DB6,Motorneuron
DB7,Motorneuron
DD1,Motorneuron
DD2,Motorneuron
DD3,Motorneuron
DD4,Motorneuron
DD5,Motorneuron
DD6,Motorneuron
DVA,Sensory
DVB,Interneuron
DVC,Interneuron
FLPL,Sensory
FLPR,Sensory
HSNL,Motorneuron
HSNR,Motorneuron
I1L,Interneuron
I1R,Interneuron
I2L,Interneuron
I2R,Interneuron
I3,Interneuron
I4,Interneuron
I5,Interneuron
I6,Interneuron
IL1DL,Sensory
IL1DR,Sensory
IL1L,Sensory
IL1R,Sensory
IL1VL,Sensory
IL1VR,Sensory
IL2DL,Sensory
IL2DR,Sensory
IL2L,Sensory
IL2R,Sensory
IL2VL,Sensory
IL2VR,Sensory
LUAL,Interneuron
LUAR,Interneuron
M1,Motorneuron
M2L,Motorneuron
M2R,Motorneuron
M3L,Motorneuron
M3R,Motorneuron
M4,Motorneuron
MCL,Motorneuron
MCR,Motorneuron
MI,Motorneuron
NSML,Sensory
NSMR,Sensory
OLLL,Sensory
OLLR,Sensory
OLQDL,Sensory
OLQDR,Sensory
OLQVL,Sensory
OLQVR,Sensory
PDA,Motorneuron
PDB,Motorneuron
PDEL,Sensory
PDER,Sensory
PHAL,Sensory
PHAR,Sensory
PHBL,Sensory
PHBR,Sensory
PHCL,Sensory
PHCR,Sensory
PLNL,Sensory
PLNR,Sensory
PQR,Sensory
PVCL,Interneuron
PVCR,Interneuron
PVDL,Sensory
PVDR,Sensory
PVM,Sensory
PVNL,Interneuron
PVNR,Interneuron
PVPL,Interneuron
PVPR,Interneuron
PVQL,Interneuron
PVQR,Interneuron
PVR,Interneuron
PVT,Interneuron
PVWL,Interneuron
PVWR,Interneuron
RIAL,Interneuron
RIAR,Interneuron
RIBL,Interneuron
RIBR,Interneuron
RICL,Interneuron
RICR,Interneuron
RID,Interneuron
RIFL,Interneuron
RIFR,Interneuron
RIGL,Interneuron
RIGR,Interneuron
RIH,Interneuron
RIML,Interneuron
RIMR,Interneuron
RIPL,Interneuron
RIPR,Interneuron
RIR,Interneuron
RIS,Interneuron
RIVL,Motorneuron
RIVR,Motorneuron
RMDDL,Motorneuron
RMDDR,Motorneuron
RMDL,Motorneuron
RMDR,Motorneuron
RMDVL,Motorneuron
RMDVR,Motorneuron
RMED,Motorneuron
RMEL,Motorneuron
RMER,Motorneuron
RMEV,Motorneuron
RMFL,Interneuron
RMFR,Interneuron
RMGL,Interneuron
RMGR,Interneuron
RMHL,Motorneuron
RMHR,Motorneuron
SAADL,Interneuron
SAADR,Interneuron
SAAVL,Interneuron
SAAVR,Interneuron
SABD,Motorneuron
SABVL,Motorneuron
SABVR,Motorneuron
SDQL,Sensory
SDQR,Sensory
SIADL,Motorneuron
SIADR,Motorneuron
SIAVL,Motorneuron
SIAVR,Motorneuron
SIBDL,Motorneuron
SIBDR,Motorneuron
SIBVL,Motorneuron
SIBVR,Motorneuron
