analysis,x,y,controls,n_regions,partial_r,p_value,permutation_p_two_sided,df,n_permutations
state_correspondence,spont_FCV,stim_FCV,none,42,0.5738339154886078,7.097598525844123e-05,0.000199990000499975,40,20000
DCApost_mean_OMR,FU_DCApost,stim_FCV,none,42,0.40336411292193763,0.008077885436391673,0.008849557522123894,40,20000
DCApost_mean_OMR,FU_DCApost,stim_FCV,spont_FCV,42,0.32491110698312287,0.03819867501239798,0.03349832508374581,39,20000
DCApost_mean_OMR,FU_DCApost,stim_FCV,division,42,0.5035356912143294,0.0010841470934795643,0.0007499625018749063,37,20000
DCApost_mean_OMR,FU_DCApost,stim_FCV,spont_FCV+division,42,0.5875115735285781,0.00010531736144571577,9.99950002499875e-05,36,20000
OO_mean_OMR,Hard_OO_fraction,stim_FCV,none,42,0.2801906434451659,0.07229838386940876,0.07419629018549073,40,20000
OO_mean_OMR,Hard_OO_fraction,stim_FCV,spont_FCV,42,0.06725046837075259,0.6761154536462903,0.6711164441777911,39,20000
OO_mean_OMR,Hard_OO_fraction,stim_FCV,division,42,0.04499591462271724,0.7856261192416156,0.7906104694765261,37,20000
OO_mean_OMR,Hard_OO_fraction,stim_FCV,spont_FCV+division,42,0.0071287454397083215,0.9661184071703319,0.968201589920504,36,20000
DCApost_OMR_condition_SD,FU_DCApost,stim_FCV_condition_sd,none,42,-0.3344259067240624,0.030412461139821535,0.02944852757362132,40,20000
DCApost_OMR_condition_SD,FU_DCApost,stim_FCV_condition_sd,spont_FCV,42,-0.31480915972801266,0.044993134141538986,0.03954802259887006,39,20000
DCApost_OMR_condition_SD,FU_DCApost,stim_FCV_condition_sd,division,42,-0.1595497452111975,0.33194495714852934,0.3446327683615819,37,20000
DCApost_OMR_condition_SD,FU_DCApost,stim_FCV_condition_sd,spont_FCV+division,42,-0.12515012532366013,0.4540641041522301,0.45427728613569324,36,20000
OO_OMR_condition_SD,Hard_OO_fraction,stim_FCV_condition_sd,none,42,-0.08981731591975094,0.5716238391386284,0.5711214439278036,40,20000
OO_OMR_condition_SD,Hard_OO_fraction,stim_FCV_condition_sd,spont_FCV,42,-0.042623880303600724,0.7913130923719042,0.7857107144642768,39,20000
OO_OMR_condition_SD,Hard_OO_fraction,stim_FCV_condition_sd,division,42,-0.039567616435312467,0.8109863760712399,0.8135593220338984,37,20000
OO_OMR_condition_SD,Hard_OO_fraction,stim_FCV_condition_sd,spont_FCV+division,42,-0.07060323417405753,0.6735980275291236,0.664516774161292,36,20000
DCApost_stim_minus_spont,FU_DCApost,stim_minus_spont_FCV_z,none,42,0.16126176174108192,0.30760841361879754,0.31138443077846106,40,20000
DCApost_stim_minus_spont,FU_DCApost,stim_minus_spont_FCV_z,spont_FCV,42,0.324911106983123,0.038198675012397945,0.03654817259137043,39,20000
DCApost_stim_minus_spont,FU_DCApost,stim_minus_spont_FCV_z,division,42,0.6208115083933237,2.4803832507784585e-05,0.00014999250037498125,37,20000
DCApost_stim_minus_spont,FU_DCApost,stim_minus_spont_FCV_z,spont_FCV+division,42,0.5875115735285779,0.00010531736144571672,4.999750012499375e-05,36,20000
OO_stim_minus_spont,Hard_OO_fraction,stim_minus_spont_FCV_z,none,42,-0.1301260034266265,0.4114391433051462,0.4119794010299485,40,20000
OO_stim_minus_spont,Hard_OO_fraction,stim_minus_spont_FCV_z,spont_FCV,42,0.06725046837075267,0.6761154536462899,0.6742162891855408,39,20000
OO_stim_minus_spont,Hard_OO_fraction,stim_minus_spont_FCV_z,division,42,-0.07451363336619084,0.6521155647083725,0.6514174291285436,37,20000
OO_stim_minus_spont,Hard_OO_fraction,stim_minus_spont_FCV_z,spont_FCV+division,42,0.0071287454397083025,0.9661184071703321,0.9661016949152542,36,20000
